DistrictCode,DistrictName,Meals,BaseMonthDays,AverageDailyMeals,HoursAllowed,HoursRequested,AmountPerDay,TotalAnnualSalaryAmount,WorkerStateLiability,ManagerSalaries,ManagerStateLiability,TerminationPayStatePortion,TotalStateAllocation,Preload90,AmountDue,SourceFile,Notes
10,Caesar Rodney,211852.76,22,9629.67090909091,674,656.75,11118.97,2057009,1275346,397690,290314,0,1565660,1266539,299121,FY26 Cafeteria.xlsx,District cafeteria salary allocation; 0.62 worker state share and 0.73 manager state share. Outside the position-based formula comparison.
13,Capital,156435.84,21,7449.325714285714,521,389.25,6629.98,1226546,760459,308664,225325,39.77,985824,866242,119582,FY26 Cafeteria.xlsx,District cafeteria salary allocation; 0.62 worker state share and 0.73 manager state share. Outside the position-based formula comparison.
15,Lake Forest,113180,22,5144.545454545455,360,278.5,4605.5599999999995,852029,528258,198486,144895,2945.25,676098,566200,109898,FY26 Cafeteria.xlsx,District cafeteria salary allocation; 0.62 worker state share and 0.73 manager state share. Outside the position-based formula comparison.
16,Laurel,56664.45,20,2833.2225,198,183,3134.21,579829,359494,102658,74940,1492.56,435927,358541,77386,FY26 Cafeteria.xlsx,District cafeteria salary allocation; 0.62 worker state share and 0.73 manager state share. Outside the position-based formula comparison.
17,Cape Henlopen,161753.64,22,7352.438181818183,515,479,8154.18,1508523,935284,344752,251669,8838.189999999999,1195791,1016915,178876,FY26 Cafeteria.xlsx,District cafeteria salary allocation; 0.62 worker state share and 0.73 manager state share. Outside the position-based formula comparison.
18,Milford,114582.15,21,5456.2928571428565,382,321,5534.01,1023792,634751,237332,173252,3148.55,811152,664266,146886,FY26 Cafeteria.xlsx,District cafeteria salary allocation; 0.62 worker state share and 0.73 manager state share. Outside the position-based formula comparison.
23,Seaford,109205,20,5460.25,382,229,4016.83,743114,460730,196921,143752,0,604482,526487,77995,FY26 Cafeteria.xlsx,District cafeteria salary allocation; 0.62 worker state share and 0.73 manager state share. Outside the position-based formula comparison.
24,Smyrna,142810.59,22,6491.390454545454,454,454,7638.96,1413208,876189,241442,176253,0,1052442,944229,108213,FY26 Cafeteria.xlsx,District cafeteria salary allocation; 0.62 worker state share and 0.73 manager state share. Outside the position-based formula comparison.
29,Appoquinimink,233510.28,21,11119.537142857143,778,677,11680.24,2160844,1339723,495282,361556,23418.18,1724698,1540741,183957,FY26 Cafeteria.xlsx,District cafeteria salary allocation; 0.62 worker state share and 0.73 manager state share. Outside the position-based formula comparison.
31,Brandywine,224067.86,19,11793.045263157894,826,826,13836.88,2559823,1587090,280325,204637,545.8199999999999,1792273,1553120,239153,FY26 Cafeteria.xlsx,District cafeteria salary allocation; 0.62 worker state share and 0.73 manager state share. Outside the position-based formula comparison.
32,Red Clay,350036.47,19,18422.972105263158,1290,1131.65,19474.129999999997,3602714,2233683,738813,539333,9935.920000000002,2782952,2639751,143201,FY26 Cafeteria.xlsx,District cafeteria salary allocation; 0.62 worker state share and 0.73 manager state share. Outside the position-based formula comparison.
33,Christina,295898.71,20,14794.935500000001,1036,1028.75,17885.31,3308782,2051445,340956,248898,3850.7200000000003,2304194,2016043,288151,FY26 Cafeteria.xlsx,District cafeteria salary allocation; 0.62 worker state share and 0.73 manager state share. Outside the position-based formula comparison.
34,Colonial,243895.16,22,11086.143636363637,776,775.17,13324.25,2464986,1528291,317535,231801,147.97,1760240,1574762,185478,FY26 Cafeteria.xlsx,District cafeteria salary allocation; 0.62 worker state share and 0.73 manager state share. Outside the position-based formula comparison.
35,Woodbridge,83257.79,22,3784.4449999999997,265,232.25,4001.37,740253,458957,126432,92295,2545.32,553797,472877,80920,FY26 Cafeteria.xlsx,District cafeteria salary allocation; 0.62 worker state share and 0.73 manager state share. Outside the position-based formula comparison.
36,Indian River,231269,20,11563.45,809,711,12479.609999999999,2308728,1431411,476110,347560,1011.78,1779983,1542777,237206,FY26 Cafeteria.xlsx,District cafeteria salary allocation; 0.62 worker state share and 0.73 manager state share. Outside the position-based formula comparison.
37,Delmar,30150.15,22,1370.4613636363638,96,83.62,1411.33,261096,161880,38102,27814,0,189694,157099,32595,FY26 Cafeteria.xlsx,District cafeteria salary allocation; 0.62 worker state share and 0.73 manager state share. Outside the position-based formula comparison.
38,Nccvt,97245,21,4630.714285714285,324,219,3663.05,677664,420152,128345,93692,0,513844,451512,62332,FY26 Cafeteria.xlsx,District cafeteria salary allocation; 0.62 worker state share and 0.73 manager state share. Outside the position-based formula comparison.
39,Polytech,26163.09,22,1189.2313636363635,83,83,1519.99,281198,174343,38102,27814,9423.35,211580,172399,39181,FY26 Cafeteria.xlsx,District cafeteria salary allocation; 0.62 worker state share and 0.73 manager state share. Outside the position-based formula comparison.
40,Sussex Vt,26432.69,21,1258.6995238095237,88,69,1192.42,220598,136771,35522,25931,0,162702,140102,22600,FY26 Cafeteria.xlsx,District cafeteria salary allocation; 0.62 worker state share and 0.73 manager state share. Outside the position-based formula comparison.
