SchoolYear,DistrictCode,DistrictName,CustodialUnits,Notes
2026,69,ASPIRA Delaware,,
2026,9605,Academia Antonia Alonso,,
2026,85,Academy of Dover Charter School,,
2026,29,Appoquinimink School District,,
2026,31,Brandywine School District,,
2026,9615,Bryan Allen Stevenson School of Excellence,,
2026,10,Caesar Rodney School District,,
2026,74,Campus Community School,,
2026,17,Cape Henlopen School District,,
2026,13,Capital School District,,
2026,80,Charter School of New Castle,,
2026,70,Charter School of Wilmington,,
2026,33,Christina School District,,
2026,34,Colonial School District,,
2026,79,Delaware Military Academy,,
2026,37,Delmar School District,,
2026,14,Dover Air Force Base,,
2026,9604,Early College High School at Del State,,
2026,72,East Side Charter School,,
2026,76,Edison (Thomas A.) Charter School,,
2026,9607,First State Military Academy,,
2026,9606,First State Montessori Academy,,
2026,9612,Freire Charter School Wilmington,,
2026,92,Gateway Charter School,,
2026,9611,Great Oaks Charter School,,
2026,36,Indian River School District,,
2026,82,Kuumba Academy Charter School,,
2026,15,Lake Forest School District,,
2026,16,Laurel School District,,
2026,88,MOT Charter School,,
2026,18,Milford School District,,
2026,38,New Castle County Vocational-Technical School District,,
2026,89,Newark Charter School,,
2026,86,Odyssey Charter School,,
2026,39,Polytech School District,,
2026,71,Positive Outcomes Charter School,,
2026,87,Providence Creek Academy Charter School,,
2026,32,Red Clay Consolidated School District,,
2026,23,Seaford School District,,
2026,24,Smyrna School District,,
2026,77,Sussex Academy,,
2026,9614,Sussex Montessori School,,
2026,40,Sussex Technical School District,,
2026,35,Woodbridge School District,,
