SchoolYear,DistrictCode,DistrictName,SchoolCode,SchoolName,CustodianPositions,SatelliteCafeteriaCount,HasSchoolLunchProgram,Notes
2026,69,ASPIRA Delaware,568.0,ASPIRA Academy,,,,
2026,9605,Academia Antonia Alonso,4045.0,Academia Antonia Alonso,,,,
2026,85,Academy of Dover Charter School,584.0,Academy Of Dover Charter School,,,,
2026,29,Appoquinimink School District,24.0,Appoquinimink High School,,,,
2026,29,Appoquinimink School District,13.0,Appoquinimink PreSchool Center,,,,
2026,29,Appoquinimink School District,36.0,Brick Mill Early Childhood Center,,,,
2026,29,Appoquinimink School District,21.0,Brick Mill Elementary School,,,,
2026,29,Appoquinimink School District,28.0,Bunker Hill Elementary School,,,,
2026,29,Appoquinimink School District,33.0,Cantwells Bridge Middle School,,,,
2026,29,Appoquinimink School District,22.0,Cedar Lane Early Childhood Center,,,,
2026,29,Appoquinimink School District,11.0,Cedar Lane Elementary School,,,,
2026,29,Appoquinimink School District,37.0,Crystal Run Elementary School,,,,
2026,29,Appoquinimink School District,35.0,Lorewood Grove Elementary School,,,,
2026,29,Appoquinimink School District,20.0,Loss (Olive B.) Elementary School,,,,
2026,29,Appoquinimink School District,17.0,Meredith (Everett) Middle School,,,,
2026,29,Appoquinimink School District,18.0,Middletown High School,,,,
2026,29,Appoquinimink School District,34.0,Odessa High School,,,,
2026,29,Appoquinimink School District,32.0,Old State Elementary School,,,,
2026,29,Appoquinimink School District,16.0,Redding (Louis L.) Middle School,,,,
2026,29,Appoquinimink School District,10.0,Silver Lake Elementary School,,,,
2026,29,Appoquinimink School District,29.0,Spring Meadow Early Childhood Center,,,,
2026,29,Appoquinimink School District,27.0,Townsend Early Childhood Center,,,,
2026,29,Appoquinimink School District,14.0,Townsend Elementary School,,,,
2026,29,Appoquinimink School District,23.0,Waters (Alfred G.) Middle School,,,,
2026,31,Brandywine School District,190.0,Brandywine High School,,,,
2026,31,Brandywine School District,510.0,Bush (Charles W.) Pre-School,,,,
2026,31,Brandywine School District,112.0,Carrcroft Elementary School,,,,
2026,31,Brandywine School District,151.0,Claymont Elementary School,,,,
2026,31,Brandywine School District,194.0,Concord High School,,,,
2026,31,Brandywine School District,124.0,Forwood Elementary School,,,,
2026,31,Brandywine School District,110.0,Hanby Elementary School,,,,
2026,31,Brandywine School District,156.0,Harlan (David W. ) Elementary School,,,,
2026,31,Brandywine School District,128.0,Lancashire Elementary School,,,,
2026,31,Brandywine School District,130.0,Lombardy Elementary School,,,,
2026,31,Brandywine School District,132.0,Maple Lane Elementary School,,,,
2026,31,Brandywine School District,176.0,Mount Pleasant Elementary School,,,,
2026,31,Brandywine School District,196.0,Mount Pleasant High School,,,,
2026,31,Brandywine School District,178.0,Springer Middle School,,,,
2026,31,Brandywine School District,180.0,Talley Middle School,,,,
2026,31,Brandywine School District,170.0,duPont (Pierre S.) Middle School,,,,
2026,9615,Bryan Allen Stevenson School of Excellence,4110.0,Bryan Allen Stevenson School of Excellence,,,,
2026,10,Caesar Rodney School District,610.0,Allen Frear Elementary School,,,,
2026,10,Caesar Rodney School District,626.0,Caesar Rodney High School,,,,
2026,10,Caesar Rodney School District,623.0,David E. Robinson Elementary School,,,,
2026,10,Caesar Rodney School District,621.0,F. Niel Postlethwait Middle School,,,,
2026,10,Caesar Rodney School District,625.0,Fred Fifer III Middle School,,,,
2026,10,Caesar Rodney School District,611.0,J. Ralph McIlvaine Early Childhood Center,,,,
2026,10,Caesar Rodney School District,630.0,John S. Charlton School,,,,
