DistrictCode,DistrictName,LEAType,CalculatorLEAName,IncludeInStatewide
69,ASPIRA Delaware,Charter,Las_Americas_Aspira_Academy_Charter_School,True
9605,Academia Antonia Alonso,Charter,Academia_Antonia_Alonso_ Charter_School,True
85,Academy of Dover Charter School,Charter,Academy_of_Dover_Charter_School,True
29,Appoquinimink School District,District,Appo,True
31,Brandywine School District,District,Brandywine,True
9615,Bryan Allen Stevenson School of Excellence,Charter,Bryan_Allen_Stevenson_School_of_Excellence_Charter_School,True
10,Caesar Rodney School District,District,CR,True
74,Campus Community School,Charter,Campus_Community_School_Charter_School,True
17,Cape Henlopen School District,District,Cape,True
13,Capital School District,District,Capital,True
80,Charter School of New Castle,Charter,Charter_School_of_New_Castle,True
70,Charter School of Wilmington,Charter,Charter_School_of_Wilmington,True
33,Christina School District,District,Christina,True
34,Colonial School District,District,Colonial,True
79,Delaware Military Academy,Charter,Delaware_Military_Academy_Charter_School,True
37,Delmar School District,District,Delmar,True
14,Dover Air Force Base,Dover Air Force Base,DAFB,False
9604,Early College High School at Del State,Charter,Early_College_High_School_at_Del_State_Charter_School,True
72,East Side Charter School,Charter,East_Side_Charter_School,True
76,Edison (Thomas A.) Charter School,Charter,Edison_Charter_School,True
9607,First State Military Academy,Charter,First_State_Military_Academy_Charter_School,True
9606,First State Montessori Academy,Charter,First_State_Montessori_Academy_Charter_School,True
9612,Freire Charter School Wilmington,Charter,Freire_Charter_School_of_Wilmington,True
92,Gateway Charter School,Charter,Gateway_Charter_School,True
9611,Great Oaks Charter School,Charter,Great_Oaks_Charter_School,True
36,Indian River School District,District,IR,True
82,Kuumba Academy Charter School,Charter,Kuumba_Academy_Charter_School,True
15,Lake Forest School District,District,Lake,True
16,Laurel School District,District,Laurel,True
88,MOT Charter School,Charter,MOT_Charter_School,True
18,Milford School District,District,Milford,True
38,New Castle County Vocational-Technical School District,District,NCCVT,True
89,Newark Charter School,Charter,Newark_Charter_School,True
86,Odyssey Charter School,Charter,Odyssey_Charter_School,True
39,Polytech School District,District,POLYTECH,True
71,Positive Outcomes Charter School,Charter,Positive_Outcomes_Charter_School,True
87,Providence Creek Academy Charter School,Charter,Providence_Creek_Academy_Charter_School,True
32,Red Clay Consolidated School District,District,Red_Clay,True
23,Seaford School District,District,Seaford,True
24,Smyrna School District,District,Smyrna,True
77,Sussex Academy,Charter,Sussex_Academy_Charter_School,True
9614,Sussex Montessori School,Charter,Sussex_Montessori_School_Charter_School,True
40,Sussex Technical School District,District,Sussex_Tech,True
35,Woodbridge School District,District,Woodbridge,True
