SourceModel,SourceComponent,ReportSection,ReportComponent,ComparisonGroup,DirectComparability,IncludeInMainReport,DisplayOrder,Note
Current,Division I Teacher - K-3 Regular Education,Base / Division I,K-3 Regular Education Teachers,Base Division I,Direct,TRUE,10,
Current,Division I Teacher - 4-12 Regular Education,Base / Division I,Grades 4-12 Regular Education Teachers,Base Division I,Direct,TRUE,20,
Current,Division I Teacher - Pre-K,Base / Division I,Basic Special Education Teachers,Base Division I,Partial,TRUE,30,Combined with current Basic K-12 units for comparison with the proposed Pre-K-12 Basic category.
Current,Division I Teacher - Basic Special Education,Base / Division I,Basic Special Education Teachers,Base Division I,Partial,TRUE,30,Combined with current Basic Pre-K units for comparison with the proposed Pre-K-12 Basic category.
Current,Division I Teacher - Intensive Special Education,Base / Division I,Intensive Special Education Teachers,Base Division I,Direct,TRUE,40,
Current,Division I Teacher - Complex Special Education,Base / Division I,Complex Special Education Teachers,Base Division I,Direct,TRUE,50,
Current,Vocational Division I,Base / Division I,Net Vocational Division I Positions,Base Division I,Direct,TRUE,60,Reported vocational positions and the vocational deduction are combined as a net quantity.
Current,Vocational Deduct,Base / Division I,Net Vocational Division I Positions,Base Division I,Direct,TRUE,60,Reported vocational positions and the vocational deduction are combined as a net quantity.
Current,Principal,Base administration,Principal,Additional Base,Direct,TRUE,70,
Current,Assistant Principal,Base administration,Assistant Principal,Additional Base,Direct,TRUE,80,
Current,Secretary,Base administration,Administrative Support Professionals,Additional Base,Partial,TRUE,90,Current secretaries are compared with the broader proposed Administrative Support Professionals category.
Current,Counselor / Social Worker,Instructional / student support,Instructional Supports,Additional Base,Partial,TRUE,100,Separate current-model support functions are aggregated for comparison with the proposed consolidated Instructional Supports category.
Current,School Psychologist,Instructional / student support,Instructional Supports,Additional Base,Partial,TRUE,100,Separate current-model support functions are aggregated for comparison with the proposed consolidated Instructional Supports category.
Current,Nurse,Instructional / student support,Instructional Supports,Additional Base,Partial,TRUE,100,Separate current-model support functions are aggregated for comparison with the proposed consolidated Instructional Supports category.
Current,Academic Excellence,Instructional / student support,Instructional Supports,Additional Base,Partial,TRUE,100,Separate current-model support functions are aggregated for comparison with the proposed consolidated Instructional Supports category.
Current,Driver Education Teacher,Instructional / student support,Instructional Supports,Additional Base,Partial,TRUE,100,Separate current-model support functions are aggregated for comparison with the proposed consolidated Instructional Supports category.
Current,Related Services Specialist - Basic,Instructional / student support,Instructional Supports,Additional Base,Partial,TRUE,100,Separate current-model support functions are aggregated for comparison with the proposed consolidated Instructional Supports category.
Current,Related Services Specialist - Intensive,Instructional / student support,Instructional Supports,Additional Base,Partial,TRUE,100,Separate current-model support functions are aggregated for comparison with the proposed consolidated Instructional Supports category.
Current,Related Services Specialist - Complex,Instructional / student support,Instructional Supports,Additional Base,Partial,TRUE,100,Separate current-model support functions are aggregated for comparison with the proposed consolidated Instructional Supports category.
Current,Visiting Teacher,Instructional / student support,Instructional Supports,Additional Base,Partial,TRUE,100,Separate current-model support functions are aggregated for comparison with the proposed consolidated Instructional Supports category.
Current,Custodians,School operations,Current School Operations Positions,Not directly comparable,No,FALSE,110,No directly equivalent position category is separately identified in the proposed Base section; current inputs or rates are also incomplete.
Current,Cafeteria Manager,School operations,Current School Operations Positions,Not directly comparable,No,FALSE,110,No directly equivalent position category is separately identified in the proposed Base section; current inputs or rates are also incomplete.
Current,Cafeteria Worker,School operations,Current School Operations Positions,Not directly comparable,No,FALSE,110,No directly equivalent position category is separately identified in the proposed Base section; current inputs or rates are also incomplete.
Current,Superintendent,Central Office,Superintendent,Central Office,Direct,TRUE,200,
Current,Administrative Assistant,Central Office,Administrative Assistant,Central Office,Direct,TRUE,210,
