AggregationLevel,SchoolYear,CountDate,DistrictCode,DistrictName,SchoolCode,SchoolName,Enrollment,LI,MLL,K8Enrollment,Grade10Enrollment
School,2026,2025-09-30,9605,Academia Antonia Alonso,4045,Academia Antonia Alonso,923,275,536,923,0
School,2026,2025-09-30,85,Academy of Dover Charter School,584,Academy Of Dover Charter School,454,180,57,454,0
School,2026,2025-09-30,29,Appoquinimink School District,24,Appoquinimink High School,1299,145,59,0,328
School,2026,2025-09-30,29,Appoquinimink School District,13,Appoquinimink PreSchool Center,142,21,0,0,0
School,2026,2025-09-30,29,Appoquinimink School District,36,Brick Mill Early Childhood Center,307,43,15,214,0
School,2026,2025-09-30,29,Appoquinimink School District,21,Brick Mill Elementary School,524,93,29,524,0
School,2026,2025-09-30,29,Appoquinimink School District,28,Bunker Hill Elementary School,535,95,42,535,0
School,2026,2025-09-30,29,Appoquinimink School District,33,Cantwells Bridge Middle School,835,83,19,835,0
School,2026,2025-09-30,29,Appoquinimink School District,22,Cedar Lane Early Childhood Center,270,12,32,270,0
School,2026,2025-09-30,29,Appoquinimink School District,11,Cedar Lane Elementary School,625,24,36,625,0
School,2026,2025-09-30,29,Appoquinimink School District,37,Crystal Run Elementary School,427,31,15,427,0
School,2026,2025-09-30,29,Appoquinimink School District,35,Lorewood Grove Elementary School,562,41,47,562,0
School,2026,2025-09-30,29,Appoquinimink School District,20,Loss (Olive B.) Elementary School,499,47,39,499,0
School,2026,2025-09-30,29,Appoquinimink School District,17,Meredith (Everett) Middle School,815,90,39,815,0
School,2026,2025-09-30,29,Appoquinimink School District,18,Middletown High School,1210,133,38,0,328
School,2026,2025-09-30,29,Appoquinimink School District,34,Odessa High School,1260,106,19,0,335
School,2026,2025-09-30,29,Appoquinimink School District,32,Old State Elementary School,759,78,9,759,0
School,2026,2025-09-30,29,Appoquinimink School District,16,Redding (Louis L.) Middle School,548,117,29,548,0
School,2026,2025-09-30,29,Appoquinimink School District,10,Silver Lake Elementary School,537,102,32,537,0
School,2026,2025-09-30,29,Appoquinimink School District,29,Spring Meadow Early Childhood Center,199,27,4,199,0
School,2026,2025-09-30,29,Appoquinimink School District,27,Townsend Early Childhood Center,192,32,12,192,0
School,2026,2025-09-30,29,Appoquinimink School District,14,Townsend Elementary School,444,44,18,444,0
School,2026,2025-09-30,29,Appoquinimink School District,23,Waters (Alfred G.) Middle School,969,51,29,969,0
School,2026,2025-09-30,69,ASPIRA Delaware,568,ASPIRA Academy,1475,402,493,1097,90
School,2026,2025-09-30,31,Brandywine School District,190,Brandywine High School,862,206,55,0,210
School,2026,2025-09-30,31,Brandywine School District,510,Bush (Charles W.) Pre-School,280,77,0,0,0
School,2026,2025-09-30,31,Brandywine School District,112,Carrcroft Elementary School,457,146,24,457,0
School,2026,2025-09-30,31,Brandywine School District,151,Claymont Elementary School,912,266,162,912,0
School,2026,2025-09-30,31,Brandywine School District,194,Concord High School,997,204,33,0,248
School,2026,2025-09-30,31,Brandywine School District,170,duPont (Pierre S.) Middle School,657,184,27,657,0
School,2026,2025-09-30,31,Brandywine School District,124,Forwood Elementary School,386,80,27,386,0
School,2026,2025-09-30,31,Brandywine School District,110,Hanby Elementary School,500,88,24,500,0
School,2026,2025-09-30,31,Brandywine School District,156,Harlan (David W. ) Elementary School,340,159,14,340,0
School,2026,2025-09-30,31,Brandywine School District,128,Lancashire Elementary School,523,80,35,523,0
School,2026,2025-09-30,31,Brandywine School District,130,Lombardy Elementary School,451,96,19,451,0
School,2026,2025-09-30,31,Brandywine School District,132,Maple Lane Elementary School,370,111,38,370,0
School,2026,2025-09-30,31,Brandywine School District,176,Mount Pleasant Elementary School,654,194,36,654,0
School,2026,2025-09-30,31,Brandywine School District,196,Mount Pleasant High School,1019,230,57,0,265
School,2026,2025-09-30,31,Brandywine School District,178,Springer Middle School,768,175,32,768,0
School,2026,2025-09-30,31,Brandywine School District,180,Talley Middle School,894,230,72,894,0
School,2026,2025-09-30,9615,Bryan Allen Stevenson School of Excellence,4110,Bryan Allen Stevenson School of Excellence,123,40,3,104,0
School,2026,2025-09-30,10,Caesar Rodney School District,610,Allen Frear Elementary School,523,99,25,523,0
School,2026,2025-09-30,10,Caesar Rodney School District,626,Caesar Rodney High School,2256,478,148,0,556
School,2026,2025-09-30,10,Caesar Rodney School District,623,David E. Robinson Elementary School,486,147,44,486,0
School,2026,2025-09-30,10,Caesar Rodney School District,621,F. Niel Postlethwait Middle School,712,180,53,712,0
School,2026,2025-09-30,10,Caesar Rodney School District,625,Fred Fifer III Middle School,750,199,48,750,0
School,2026,2025-09-30,10,Caesar Rodney School District,611,J. Ralph McIlvaine Early Childhood Center,462,124,44,462,0
School,2026,2025-09-30,10,Caesar Rodney School District,630,John S. Charlton School,452,91,10,293,13
School,2026,2025-09-30,10,Caesar Rodney School District,613,Magnolia Middle School,471,101,23,471,0
School,2026,2025-09-30,10,Caesar Rodney School District,616,Nellie Hughes Stokes Elementary School,465,124,20,465,0
School,2026,2025-09-30,10,Caesar Rodney School District,618,Star Hill Elementary School,368,136,33,311,0
School,2026,2025-09-30,10,Caesar Rodney School District,620,W. B. Simpson Elementary School,436,119,10,436,0
School,2026,2025-09-30,10,Caesar Rodney School District,622,W. Reily Brown Elementary School,487,154,89,487,0
School,2026,2025-09-30,74,Campus Community School,573,Campus Community School,402,170,5,402,0
School,2026,2025-09-30,17,Cape Henlopen School District,724,Beacon Middle School,491,81,26,491,0
School,2026,2025-09-30,17,Cape Henlopen School District,726,Cape Henlopen High School,1889,282,175,0,486
School,2026,2025-09-30,17,Cape Henlopen School District,716,Frederick D Thomas Middle School,498,94,32,498,0
School,2026,2025-09-30,17,Cape Henlopen School District,710,H. O. Brittingham Elementary School,494,102,49,494,0
School,2026,2025-09-30,17,Cape Henlopen School District,712,Lewes Elementary School,594,103,75,594,0
School,2026,2025-09-30,17,Cape Henlopen School District,718,Love Creek Elementary School,646,85,51,646,0
School,2026,2025-09-30,17,Cape Henlopen School District,720,Mariner Middle School,547,89,54,547,0
School,2026,2025-09-30,17,Cape Henlopen School District,721,Milton Elementary School,563,86,85,563,0
School,2026,2025-09-30,17,Cape Henlopen School District,722,Rehoboth Elementary School,556,106,50,556,0
School,2026,2025-09-30,17,Cape Henlopen School District,728,Sussex Consortium,453,100,10,171,23
School,2026,2025-09-30,13,Capital School District,636,Booker T. Washington Elementary School,312,139,27,312,0
School,2026,2025-09-30,13,Capital School District,645,Capital Early Childhood Center,37,18,0,0,0
School,2026,2025-09-30,13,Capital School District,644,Central Elementary School,584,262,122,584,0
School,2026,2025-09-30,13,Capital School District,648,Dover High School,1728,592,234,0,367
School,2026,2025-09-30,13,Capital School District,632,East Dover Early Childhood Center,383,178,51,302,0
School,2026,2025-09-30,13,Capital School District,638,Fairview Early Childhood Center,171,87,27,136,0
School,2026,2025-09-30,13,Capital School District,640,Hartly Elementary School,301,79,27,301,0
School,2026,2025-09-30,13,Capital School District,650,Kent County Community School,265,85,11,175,11
School,2026,2025-09-30,13,Capital School District,655,Kent County Secondary ILC,81,49,1,35,16
School,2026,2025-09-30,13,Capital School District,633,Middle School of Excellence,586,224,55,586,0
School,2026,2025-09-30,13,Capital School District,637,Middle School of Innovation,663,273,88,663,0
School,2026,2025-09-30,13,Capital School District,635,North Dover Elementary School,328,149,39,328,0
School,2026,2025-09-30,13,Capital School District,634,South Dover Elementary School,623,305,89,623,0
School,2026,2025-09-30,13,Capital School District,642,Towne Point Elementary School,322,155,44,322,0
School,2026,2025-09-30,80,Charter School of New Castle,579,Charter School of New Castle,759,360,21,759,0
School,2026,2025-09-30,70,Charter School of Wilmington,295,Charter School of Wilmington,980,28,4,0,249
School,2026,2025-09-30,33,Christina School District,339,Brader (Henry M.) Elementary School,320,108,47,320,0
School,2026,2025-09-30,33,Christina School District,538,Brennen School (The),426,104,3,278,13
School,2026,2025-09-30,33,Christina School District,310,Brookside Elementary School,257,118,69,257,0
School,2026,2025-09-30,33,Christina School District,390,Christiana High School,1333,319,148,284,294
School,2026,2025-09-30,33,Christina School District,545,Christina Early Education Center,411,114,0,0,0
School,2026,2025-09-30,33,Christina School District,540,Delaware School for the Deaf School (DSD),105,28,7,53,11
School,2026,2025-09-30,33,Christina School District,537,Douglass School,130,80,4,38,26
School,2026,2025-09-30,33,Christina School District,318,Downes (John R.) Elementary School,371,87,52,371,0
School,2026,2025-09-30,33,Christina School District,320,Gallaher (Robert S.) Elementary School,474,181,93,474,0
School,2026,2025-09-30,33,Christina School District,372,Gauger-Cobbs Middle School,638,202,141,638,0
School,2026,2025-09-30,33,Christina School District,392,Glasgow High School,907,314,192,0,234
School,2026,2025-09-30,33,Christina School District,314,Jones (Albert H.) Elementary School,322,134,34,322,0
School,2026,2025-09-30,33,Christina School District,321,Keene (William B.) Elementary School,419,138,40,419,0
School,2026,2025-09-30,33,Christina School District,374,Kirk (George V.) Middle School,566,178,108,566,0
School,2026,2025-09-30,33,Christina School District,322,Leasure (May B.) Elementary School,295,120,38,295,0
School,2026,2025-09-30,33,Christina School District,324,Maclary (R. Elisabeth) Elementary School,231,74,50,231,0
School,2026,2025-09-30,33,Christina School District,312,Marshall (Thurgood) Elementary School,543,110,75,543,0
School,2026,2025-09-30,33,Christina School District,353,Maurice Pritchett SR. Academy,558,390,36,558,0
School,2026,2025-09-30,33,Christina School District,326,McVey (Joseph M.) Elementary School,324,117,30,324,0
School,2026,2025-09-30,33,Christina School District,394,Newark High School,993,333,151,0,254
School,2026,2025-09-30,33,Christina School District,327,Oberle (William) Elementary School,486,134,210,486,0
School,2026,2025-09-30,33,Christina School District,358,Pulaski Early Education Center,77,41,10,57,0
School,2026,2025-09-30,33,Christina School District,512,REACH/CBIP,212,55,3,96,4
School,2026,2025-09-30,33,Christina School District,376,Shue-Medill Middle School,701,245,79,701,0
School,2026,2025-09-30,33,Christina School District,330,Smith (Jennie E.) Elementary School,410,151,101,410,0
School,2026,2025-09-30,33,Christina School District,362,Stubbs Early Education Center,125,86,6,84,0
School,2026,2025-09-30,33,Christina School District,352,The Bayard School,549,346,107,549,0
School,2026,2025-09-30,33,Christina School District,332,West Park Place Elementary School,333,67,33,333,0
School,2026,2025-09-30,33,Christina School District,334,Wilson (Etta J.) Elementary School,283,60,32,283,0
School,2026,2025-09-30,34,Colonial School District,470,Bedford (Gunning) Middle School,844,209,74,844,0
School,2026,2025-09-30,34,Colonial School District,412,Castle Hills Elementary School,410,162,99,410,0
School,2026,2025-09-30,34,Colonial School District,410,Downie (Carrie) Elementary School,282,112,55,282,0
School,2026,2025-09-30,34,Colonial School District,456,Eisenberg (Harry O.) Elementary School,435,196,99,435,0
School,2026,2025-09-30,34,Colonial School District,514,Leach (John G.) School,92,14,1,25,3
School,2026,2025-09-30,34,Colonial School District,476,McCullough (Calvin R. ) Middle School,571,229,108,571,0
School,2026,2025-09-30,34,Colonial School District,432,New Castle Elementary School,349,133,77,349,0
School,2026,2025-09-30,34,Colonial School District,490,Penn (William) High School,2005,593,310,0,538
School,2026,2025-09-30,34,Colonial School District,418,Pleasantville Elementary School,390,135,61,390,0
School,2026,2025-09-30,34,Colonial School District,474,Read (George) Middle School,593,190,116,593,0
School,2026,2025-09-30,34,Colonial School District,427,Southern Elementary School,753,216,49,753,0
School,2026,2025-09-30,34,Colonial School District,450,The Colwyck Center,226,72,0,0,0
School,2026,2025-09-30,34,Colonial School District,422,Wilbur (Kathleen H.) Elementary,1009,279,116,1009,0
School,2026,2025-09-30,34,Colonial School District,420,Wilmington Manor Elementary School,314,95,47,314,0
School,2026,2025-09-30,79,Delaware Military Academy,578,Delaware Military Academy,555,63,16,0,150
School,2026,2025-09-30,37,Delmar School District,730,Delmar High School,694,82,38,0,175
School,2026,2025-09-30,37,Delmar School District,733,Delmar Middle School,777,107,52,767,0
