CheckLevel,Difference,Tolerance,Status,DistrictName,Variable,ReportedValue,RolledValue
LEA to State,0,0,Pass,State Total Excluding Dover Air Force Base,BaseUnitEnrollmentTotal,140829,140829
LEA to State,0,0,Pass,State Total Excluding Dover Air Force Base,Enrollment,140829,140829
LEA to State,0,0,Pass,State Total Excluding Dover Air Force Base,Enrollment4_12,79794,79794
LEA to State,0,0,Pass,State Total Excluding Dover Air Force Base,EnrollmentBasicK12,12790,12790
LEA to State,0,0,Pass,State Total Excluding Dover Air Force Base,EnrollmentComplex,6368,6368
LEA to State,0,0,Pass,State Total Excluding Dover Air Force Base,EnrollmentIntense,6915,6915
LEA to State,0,0,Pass,State Total Excluding Dover Air Force Base,EnrollmentK3,33859,33859
LEA to State,0,0,Pass,State Total Excluding Dover Air Force Base,EnrollmentPreK,1103,1103
LEA to State,0,0,Pass,State Total Excluding Dover Air Force Base,Grade10Enrollment,11449,11449
LEA to State,0,0,Pass,State Total Excluding Dover Air Force Base,K8Enrollment,92860,92860
LEA to State,0,0,Pass,State Total Excluding Dover Air Force Base,LI,36713,36713
LEA to State,0,0,Pass,State Total Excluding Dover Air Force Base,MLL,17358,17358
LEA to State,0,0,Pass,State Total Excluding Dover Air Force Base,RegularEdEnrollment,113653,113653
LEA to State,0,0,Pass,State Total Excluding Dover Air Force Base,SpecialEdEnrollment,27176,27176
LEA to State,0,0.05,Pass,State Total Excluding Dover Air Force Base,Units4_12,3989.7,3989.7
LEA to State,0,0.05,Pass,State Total Excluding Dover Air Force Base,UnitsBasicK12,1522.59,1522.59
LEA to State,0,0.05,Pass,State Total Excluding Dover Air Force Base,UnitsComplex,2449.22,2449.22
LEA to State,0,0.05,Pass,State Total Excluding Dover Air Force Base,UnitsIntense,1152.47,1152.47
LEA to State,-0,0.05,Pass,State Total Excluding Dover Air Force Base,UnitsK3,2090.03,2090.03
LEA to State,0,0.05,Pass,State Total Excluding Dover Air Force Base,UnitsPreK,131.31,131.31
LEA to State,-0.08,0.1,Pass,State Total Excluding Dover Air Force Base,UnitsTotal,11754.74,11754.66
LEA to State,-0,0.05,Pass,State Total Excluding Dover Air Force Base,UnitsVocational,838.83,838.83
LEA to State,0,0.05,Pass,State Total Excluding Dover Air Force Base,UnitsVocationalDeduct,-419.49,-419.49
LEA to State,0,0,Pass,State Total Including Dover Air Force Base,BaseUnitEnrollmentTotal,141306,141306
LEA to State,0,0,Pass,State Total Including Dover Air Force Base,Enrollment,141306,141306
LEA to State,0,0,Pass,State Total Including Dover Air Force Base,Enrollment4_12,80013,80013
LEA to State,0,0,Pass,State Total Including Dover Air Force Base,EnrollmentBasicK12,12843,12843
LEA to State,0,0,Pass,State Total Including Dover Air Force Base,EnrollmentComplex,6381,6381
LEA to State,0,0,Pass,State Total Including Dover Air Force Base,EnrollmentIntense,6933,6933
LEA to State,0,0,Pass,State Total Including Dover Air Force Base,EnrollmentK3,34033,34033
LEA to State,0,0,Pass,State Total Including Dover Air Force Base,EnrollmentPreK,1103,1103
LEA to State,0,0,Pass,State Total Including Dover Air Force Base,Grade10Enrollment,11463,11463
LEA to State,0,0,Pass,State Total Including Dover Air Force Base,K8Enrollment,93276,93276
LEA to State,0,0,Pass,State Total Including Dover Air Force Base,LI,36735,36735
LEA to State,0,0,Pass,State Total Including Dover Air Force Base,MLL,17366,17366
LEA to State,0,0,Pass,State Total Including Dover Air Force Base,RegularEdEnrollment,114046,114046
LEA to State,0,0,Pass,State Total Including Dover Air Force Base,SpecialEdEnrollment,27260,27260
LEA to State,-0,0.05,Pass,State Total Including Dover Air Force Base,Units4_12,4000.65,4000.65
LEA to State,0,0.05,Pass,State Total Including Dover Air Force Base,UnitsBasicK12,1528.9,1528.9
LEA to State,0,0.05,Pass,State Total Including Dover Air Force Base,UnitsComplex,2454.22,2454.22
LEA to State,0,0.05,Pass,State Total Including Dover Air Force Base,UnitsIntense,1155.47,1155.47
LEA to State,0,0.05,Pass,State Total Including Dover Air Force Base,UnitsK3,2100.77,2100.77
LEA to State,0,0.05,Pass,State Total Including Dover Air Force Base,UnitsPreK,131.31,131.31
LEA to State,-0.08,0.1,Pass,State Total Including Dover Air Force Base,UnitsTotal,11790.92,11790.84
LEA to State,-0,0.05,Pass,State Total Including Dover Air Force Base,UnitsVocational,839.2,839.2
LEA to State,0,0.05,Pass,State Total Including Dover Air Force Base,UnitsVocationalDeduct,-419.68,-419.68
School to LEA,0,0,Pass,ASPIRA Delaware,BaseUnitEnrollmentTotal,1475,1475
School to LEA,0,0,Pass,ASPIRA Delaware,Enrollment,1475,1475
School to LEA,0,0,Pass,ASPIRA Delaware,Enrollment4_12,814,814
School to LEA,0,0,Pass,ASPIRA Delaware,EnrollmentBasicK12,141,141
School to LEA,0,0,Pass,ASPIRA Delaware,EnrollmentComplex,20,20
School to LEA,0,0,Pass,ASPIRA Delaware,EnrollmentIntense,116,116
School to LEA,0,0,Pass,ASPIRA Delaware,EnrollmentK3,384,384
School to LEA,0,0,Pass,ASPIRA Delaware,EnrollmentPreK,0,0
School to LEA,0,0,Pass,ASPIRA Delaware,Grade10Enrollment,90,90
School to LEA,0,0,Pass,ASPIRA Delaware,K8Enrollment,1097,1097
School to LEA,0,0,Pass,ASPIRA Delaware,LI,402,402
School to LEA,0,0,Pass,ASPIRA Delaware,MLL,493,493
School to LEA,0,0,Pass,ASPIRA Delaware,RegularEdEnrollment,1198,1198
School to LEA,0,0,Pass,ASPIRA Delaware,SpecialEdEnrollment,277,277
School to LEA,0,0.05,Pass,ASPIRA Delaware,Units4_12,40.7,40.7
School to LEA,0,0.05,Pass,ASPIRA Delaware,UnitsBasicK12,16.79,16.79
School to LEA,0,0.05,Pass,ASPIRA Delaware,UnitsComplex,7.69,7.69
School to LEA,0,0.05,Pass,ASPIRA Delaware,UnitsIntense,19.33,19.33
School to LEA,0,0.05,Pass,ASPIRA Delaware,UnitsK3,23.7,23.7
School to LEA,0,0.05,Pass,ASPIRA Delaware,UnitsPreK,0,0
School to LEA,0,0.05,Pass,ASPIRA Delaware,UnitsTotal,110.02,110.02
School to LEA,0,0.05,Pass,ASPIRA Delaware,UnitsVocational,3.63,3.63
School to LEA,0,0.05,Pass,ASPIRA Delaware,UnitsVocationalDeduct,-1.82,-1.82
School to LEA,0,0,Pass,Academia Antonia Alonso,BaseUnitEnrollmentTotal,923,923
School to LEA,0,0,Pass,Academia Antonia Alonso,Enrollment,923,923
School to LEA,0,0,Pass,Academia Antonia Alonso,Enrollment4_12,476,476
School to LEA,0,0,Pass,Academia Antonia Alonso,EnrollmentBasicK12,48,48
School to LEA,0,0,Pass,Academia Antonia Alonso,EnrollmentComplex,7,7
School to LEA,0,0,Pass,Academia Antonia Alonso,EnrollmentIntense,19,19
School to LEA,0,0,Pass,Academia Antonia Alonso,EnrollmentK3,373,373
School to LEA,0,0,Pass,Academia Antonia Alonso,EnrollmentPreK,0,0
School to LEA,0,0,Pass,Academia Antonia Alonso,Grade10Enrollment,0,0
School to LEA,0,0,Pass,Academia Antonia Alonso,K8Enrollment,923,923
School to LEA,0,0,Pass,Academia Antonia Alonso,LI,275,275
School to LEA,0,0,Pass,Academia Antonia Alonso,MLL,536,536
School to LEA,0,0,Pass,Academia Antonia Alonso,RegularEdEnrollment,849,849
School to LEA,0,0,Pass,Academia Antonia Alonso,SpecialEdEnrollment,74,74
School to LEA,0,0.05,Pass,Academia Antonia Alonso,Units4_12,23.8,23.8
School to LEA,0,0.05,Pass,Academia Antonia Alonso,UnitsBasicK12,5.71,5.71
School to LEA,0,0.05,Pass,Academia Antonia Alonso,UnitsComplex,2.69,2.69
School to LEA,0,0.05,Pass,Academia Antonia Alonso,UnitsIntense,3.17,3.17
School to LEA,0,0.05,Pass,Academia Antonia Alonso,UnitsK3,23.02,23.02
School to LEA,0,0.05,Pass,Academia Antonia Alonso,UnitsPreK,0,0
School to LEA,0,0.05,Pass,Academia Antonia Alonso,UnitsTotal,58.39,58.39
School to LEA,0,0.05,Pass,Academia Antonia Alonso,UnitsVocational,0,0
School to LEA,0,0.05,Pass,Academia Antonia Alonso,UnitsVocationalDeduct,0,0
School to LEA,0,0,Pass,Academy of Dover Charter School,BaseUnitEnrollmentTotal,454,454
School to LEA,0,0,Pass,Academy of Dover Charter School,Enrollment,454,454
School to LEA,0,0,Pass,Academy of Dover Charter School,Enrollment4_12,179,179
School to LEA,0,0,Pass,Academy of Dover Charter School,EnrollmentBasicK12,52,52
School to LEA,0,0,Pass,Academy of Dover Charter School,EnrollmentComplex,11,11
School to LEA,0,0,Pass,Academy of Dover Charter School,EnrollmentIntense,27,27
School to LEA,0,0,Pass,Academy of Dover Charter School,EnrollmentK3,185,185
School to LEA,0,0,Pass,Academy of Dover Charter School,EnrollmentPreK,0,0
School to LEA,0,0,Pass,Academy of Dover Charter School,Grade10Enrollment,0,0
School to LEA,0,0,Pass,Academy of Dover Charter School,K8Enrollment,454,454
School to LEA,0,0,Pass,Academy of Dover Charter School,LI,180,180
School to LEA,0,0,Pass,Academy of Dover Charter School,MLL,57,57
School to LEA,0,0,Pass,Academy of Dover Charter School,RegularEdEnrollment,364,364
School to LEA,0,0,Pass,Academy of Dover Charter School,SpecialEdEnrollment,90,90
School to LEA,0,0.05,Pass,Academy of Dover Charter School,Units4_12,8.95,8.95
