Model,CalculationLevel,SchoolYear,CountDate,DistrictCode,DistrictName,LEAType,IncludeInStatewide,SchoolCode,SchoolName,IsSchool,QuantityType,Component,RawInputValue,AppliedFactor,FundingQuantity,CalculationStatus,InputComplete,QuantityProvisional,CalculationComplete,SourceField,Rule
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,11-Month Supervisor,110.02,0.006666666666666667,0.7334666666666666,Calculated,TRUE,FALSE,TRUE,UnitsTotal,Division I units divided by 150.
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Administrative Assistant,1,1,1,Calculated,TRUE,FALSE,TRUE,LEA,One per LEA.
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Assistant Superintendent,110.02,,0,Ineligible,TRUE,FALSE,TRUE,UnitsTotal,"One per completed 300 Division I units, capped at two, for districts and DAFB."
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Buildings and Grounds Supervisor,,,,Missing input,FALSE,FALSE,FALSE,CustodialUnits,One when custodial units are at least 95.
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Director,110.02,,0,Calculated,TRUE,FALSE,TRUE,UnitsTotal,"One at 200 units plus one per completed additional 100, capped at six."
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Food Services Supervisor,,,0,Ineligible,TRUE,FALSE,TRUE,SchoolLunchBuildingCount,Districts and DAFB earn one at 500 units or with at least four lunch buildings.
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Reading Cadre,1,1,0,Ineligible,TRUE,FALSE,TRUE,LEAType,One per district; DAFB is treated as a district; charters are ineligible.
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Related Services Specialist - Basic,16.79,0.017543859649122806,0.2945614035087719,Calculated,TRUE,FALSE,TRUE,UnitsBasicK12,Basic units divided by 57.
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Related Services Specialist - Complex,7.69,0.3333333333333333,2.5633333333333335,Calculated,TRUE,FALSE,TRUE,UnitsComplex,Complex units divided by 3.
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Related Services Specialist - Intensive,19.33,0.18181818181818182,3.514545454545454,Calculated,TRUE,FALSE,TRUE,UnitsIntense,Intensive units divided by 5.5.
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Superintendent,1,1,0,Ineligible,TRUE,FALSE,TRUE,LEAType,One per district; DAFB is treated as a district; charters are ineligible.
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Transportation Supervisor,1475,1.3333333333333334e-4,0.19666666666666666,Calculated,TRUE,FALSE,TRUE,Enrollment,"Enrollment divided by 7,500; fractional positions are allowed."
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Visiting Teacher,110.02,0.004,0.44007999999999997,Calculated,TRUE,FALSE,TRUE,UnitsTotal,Division I units divided by 250.
Current model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,Position,Academic Excellence,1475,0.004,5.9,Calculated,TRUE,FALSE,TRUE,Enrollment,Enrollment divided by 250.
Current model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,Position,Assistant Principal,110.02,,4,Calculated,TRUE,FALSE,TRUE,UnitsTotal,"Apply the 25, 30, 50, 55, and additional 20-unit thresholds."
Current model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,Position,Cafeteria Manager,,,0.73,Base only; satellite count missing,FALSE,TRUE,TRUE,SatelliteCafeteriaCount,Charters earn 0.73 plus 0.73 per satellite.
Current model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,Position,Cafeteria Worker,1475,0.0062,9.145,Calculated,TRUE,FALSE,TRUE,Enrollment,Charters earn 0.0062 positions per student.
Current model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,Position,Counselor / Social Worker,1097,0.004,4.388,Calculated,TRUE,FALSE,TRUE,K8Enrollment,K-8 enrollment divided by 250.
Current model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,Position,Custodians,,1,,Missing input,FALSE,FALSE,FALSE,CustodianPositions,Use site-evaluated custodian positions.
Current model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,Position,Division I Teacher - 4-12 Regular Education,40.7,1,40.7,Reported,TRUE,FALSE,TRUE,Units4_12,Use reported positions.
Current model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,Position,Division I Teacher - Basic Special Education,16.79,1,16.79,Reported,TRUE,FALSE,TRUE,UnitsBasicK12,Use reported positions.
Current model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,Position,Division I Teacher - Complex Special Education,7.69,1,7.69,Reported,TRUE,FALSE,TRUE,UnitsComplex,Use reported positions.
Current model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,Position,Division I Teacher - Intensive Special Education,19.33,1,19.33,Reported,TRUE,FALSE,TRUE,UnitsIntense,Use reported positions.
Current model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,Position,Division I Teacher - K-3 Regular Education,23.7,1,23.7,Reported,TRUE,FALSE,TRUE,UnitsK3,Use reported positions.
Current model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,Position,Division I Teacher - Pre-K,0,1,0,Reported,TRUE,FALSE,TRUE,UnitsPreK,Use reported Basic Pre-K special education positions.
Current model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,Position,Driver Education Teacher,90,0.008,0.72,Calculated,TRUE,FALSE,TRUE,Grade10Enrollment,Grade 10 enrollment divided by 125.
