Model,CalculationLevel,SchoolYear,CountDate,DistrictCode,DistrictName,LEAType,IncludeInStatewide,SchoolCode,SchoolName,IsSchool,QuantityType,Component,RawInputValue,AppliedFactor,FundingQuantity,CalculationStatus,InputComplete,QuantityProvisional,CalculationComplete,SourceField,Rule,RateComponent,RateCategory,RateNote,FundingRate,RateBasis,RateSourceCell,FundingSection,RateAvailable,FundingAmount,CalculatorSuppliedFundingAmount,DocumentedCrosswalkFundingAmount,AnalyticalAssumptionFundingAmount,FundingComplete
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,11-Month Supervisor,110.02,0.00666666666666666,0.7334666666666666,Calculated,TRUE,FALSE,TRUE,UnitsTotal,Division I units divided by 150.,11-Month Supervisor,Calculator-supplied,The calculator explicitly supplies this component rate.,113281.67,Per position,Calculator!E39,Central Office Funding (State Support),TRUE,83088.32888933332,83088.32888933332,0,0,TRUE
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Administrative Assistant,1,1,1,Calculated,TRUE,FALSE,TRUE,LEA,One per LEA.,Administrative Assistant,Calculator-supplied,The calculator explicitly supplies this component rate.,111365,Per position,Calculator!E36,Central Office Funding (State Support),TRUE,111365,111365,0,0,TRUE
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Assistant Superintendent,110.02,,0,Ineligible,TRUE,FALSE,TRUE,UnitsTotal,"One per completed 300 Division I units, capped at two, for districts and DAFB.",Assistant Superintendent,Calculator-supplied,The calculator explicitly supplies this component rate.,167858,Per position,Calculator!E37,Central Office Funding (State Support),TRUE,0,0,0,0,TRUE
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Buildings and Grounds Supervisor,,,,Missing input,FALSE,FALSE,FALSE,CustodialUnits,One when custodial units are at least 95.,Buildings and Grounds Supervisor,Calculator-supplied,The calculator explicitly supplies this component rate.,123580,Per position,Calculator!E40,Central Office Funding (State Support),TRUE,,0,0,0,FALSE
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Director,110.02,,0,Calculated,TRUE,FALSE,TRUE,UnitsTotal,"One at 200 units plus one per completed additional 100, capped at six.",Director,Calculator-supplied,The calculator explicitly supplies this component rate.,166369,Per position,Calculator!E38,Central Office Funding (State Support),TRUE,0,0,0,0,TRUE
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Food Services Supervisor,,,0,Ineligible,TRUE,FALSE,TRUE,SchoolLunchBuildingCount,Districts and DAFB earn one at 500 units or with at least four lunch buildings.,Food Services Supervisor,Calculator-supplied,The calculator explicitly supplies this component rate.,123580,Per position,Calculator!E41,Central Office Funding (State Support),TRUE,0,0,0,0,TRUE
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Reading Cadre,1,1,0,Ineligible,TRUE,FALSE,TRUE,LEAType,One per district; DAFB is treated as a district; charters are ineligible.,Reading Cadre,Calculator-supplied,The calculator explicitly supplies this component rate.,96155,Per position,Calculator!E43,Central Office Funding (State Support),TRUE,0,0,0,0,TRUE
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Related Services Specialist - Basic,16.79,0.0175438596491228,0.2945614035087719,Calculated,TRUE,FALSE,TRUE,UnitsBasicK12,Basic units divided by 57.,Instructional Supports,Documented crosswalk,The proposed model combines Related Services into Instructional Supports.,96155,Per position,Calculator!E16,Base Funding (State Support),TRUE,28323.551754385964,0,28323.551754385964,0,TRUE
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Related Services Specialist - Complex,7.69,0.3333333333333333,2.5633333333333335,Calculated,TRUE,FALSE,TRUE,UnitsComplex,Complex units divided by 3.,Instructional Supports,Documented crosswalk,The proposed model combines Related Services into Instructional Supports.,96155,Per position,Calculator!E16,Base Funding (State Support),TRUE,246477.31666666668,0,246477.31666666668,0,TRUE
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Related Services Specialist - Intensive,19.33,0.18181818181818185,3.514545454545454,Calculated,TRUE,FALSE,TRUE,UnitsIntense,Intensive units divided by 5.5.,Instructional Supports,Documented crosswalk,The proposed model combines Related Services into Instructional Supports.,96155,Per position,Calculator!E16,Base Funding (State Support),TRUE,337941.11818181816,0,337941.11818181816,0,TRUE
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Superintendent,1,1,0,Ineligible,TRUE,FALSE,TRUE,LEAType,One per district; DAFB is treated as a district; charters are ineligible.,Superintendent,Calculator-supplied,The calculator explicitly supplies this component rate.,188319,Per position,Calculator!E35,Central Office Funding (State Support),TRUE,0,0,0,0,TRUE
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Transportation Supervisor,1475,1.3333333333333334e-4,0.19666666666666663,Calculated,TRUE,FALSE,TRUE,Enrollment,"Enrollment divided by 7,500; fractional positions are allowed.",Transportation Supervisor,Calculator-supplied,The calculator explicitly supplies this component rate.,123580,Per position,Calculator!E42,Central Office Funding (State Support),TRUE,24304.066666666662,24304.066666666662,0,0,TRUE
Current model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,Position,Visiting Teacher,110.02,0.004,0.44008,Calculated,TRUE,FALSE,TRUE,UnitsTotal,Division I units divided by 250.,Instructional Supports,Analytical assumption,The analysis assigns the Instructional Supports rate.,96155,Per position,Calculator!E16,Base Funding (State Support),TRUE,42315.892400000004,0,0,42315.892400000004,TRUE
Current model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,Position,Academic Excellence,1475,0.004,5.9,Calculated,TRUE,FALSE,TRUE,Enrollment,Enrollment divided by 250.,Instructional Supports,Documented crosswalk,The proposed model combines Academic Excellence into Instructional Supports.,96155,Per position,Calculator!E16,Base Funding (State Support),TRUE,567314.5,0,567314.5,0,TRUE
Current model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,Position,Assistant Principal,110.02,,4,Calculated,TRUE,FALSE,TRUE,UnitsTotal,"Apply the 25, 30, 50, 55, and additional 20-unit thresholds.",Assistant Principal,Calculator-supplied,The calculator explicitly supplies this component rate.,134266,Per position,Calculator!E14,Base Funding (State Support),TRUE,537064,537064,0,0,TRUE
Current model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,Position,Cafeteria Manager,,,0.73,Base only; satellite count missing,FALSE,TRUE,TRUE,SatelliteCafeteriaCount,Charters earn 0.73 plus 0.73 per satellite.,,Not available,No defensible calculator rate or documented crosswalk was identified.,,,,Rate missing,FALSE,,0,0,0,FALSE
Current model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,Position,Cafeteria Worker,1475,0.0062,9.145,Calculated,TRUE,FALSE,TRUE,Enrollment,Charters earn 0.0062 positions per student.,,Not available,No defensible calculator rate or documented crosswalk was identified.,,,,Rate missing,FALSE,,0,0,0,FALSE
