StatewideScope,FundingSection,Component,RateCategory,CalculatedPositions,CalculatorSuppliedFundingAmount,DocumentedCrosswalkFundingAmount,AnalyticalAssumptionFundingAmount,TotalModeledFundingAmount,RowsMissingInput,RowsMissingRate,InputComplete,ProvisionalQuantityRows,QuantityCalculationComplete,FundingRateComplete,OverallComplete
Excludes DAFB,Base Funding (State Support),Academic Excellence,Documented crosswalk,563.316,0,54165649.98000002,0,54165649.98000002,0,0,TRUE,0,TRUE,TRUE,TRUE
Excludes DAFB,Base Funding (State Support),Assistant Principal,Calculator-supplied,361.7499999999998,48570725.49999996,0,0,48570725.49999996,0,0,TRUE,0,TRUE,TRUE,TRUE
Excludes DAFB,Base Funding (State Support),Counselor / Social Worker,Analytical assumption,371.4399999999997,0,0,35715813.2,35715813.2,0,0,TRUE,0,TRUE,TRUE,TRUE
Excludes DAFB,Base Funding (State Support),Division I Teacher - 4-12 Regular Education,Calculator-supplied,3989.6999999999994,383629603.5,0,0,383629603.5,0,0,TRUE,0,TRUE,TRUE,TRUE
Excludes DAFB,Base Funding (State Support),Division I Teacher - Basic Special Education,Calculator-supplied,1522.5500000000002,146400795.24999997,0,0,146400795.24999997,0,0,TRUE,0,TRUE,TRUE,TRUE
Excludes DAFB,Base Funding (State Support),Division I Teacher - Complex Special Education,Calculator-supplied,2449.1200000000017,235495133.6,0,0,235495133.6,0,0,TRUE,0,TRUE,TRUE,TRUE
Excludes DAFB,Base Funding (State Support),Division I Teacher - Intensive Special Education,Calculator-supplied,1152.4700000000003,110815752.85000002,0,0,110815752.85000002,0,0,TRUE,0,TRUE,TRUE,TRUE
Excludes DAFB,Base Funding (State Support),Division I Teacher - K-3 Regular Education,Calculator-supplied,2090.009999999999,200964911.55000007,0,0,200964911.55000007,0,0,TRUE,0,TRUE,TRUE,TRUE
Excludes DAFB,Base Funding (State Support),Division I Teacher - Pre-K,Calculator-supplied,131.31,12626113.05,0,0,12626113.05,0,0,TRUE,0,TRUE,TRUE,TRUE
Excludes DAFB,Base Funding (State Support),Driver Education Teacher,Documented crosswalk,91.59200000000001,0,8807028.760000004,0,8807028.760000004,0,0,TRUE,0,TRUE,TRUE,TRUE
Excludes DAFB,Base Funding (State Support),Nurse,Documented crosswalk,207.12409999999997,0,19916017.835499983,0,19916017.835499983,0,0,TRUE,0,TRUE,TRUE,TRUE
Excludes DAFB,Base Funding (State Support),Principal,Calculator-supplied,223,34133495,0,0,34133495,0,0,TRUE,0,TRUE,TRUE,TRUE
Excludes DAFB,Base Funding (State Support),Related Services Specialist - Basic,Documented crosswalk,26.712105263157895,0,2568502.481578948,0,2568502.481578948,0,0,TRUE,0,TRUE,TRUE,TRUE
Excludes DAFB,Base Funding (State Support),Related Services Specialist - Complex,Documented crosswalk,816.4066666666663,0,78501583.03333332,0,78501583.03333332,0,0,TRUE,0,TRUE,TRUE,TRUE
Excludes DAFB,Base Funding (State Support),Related Services Specialist - Intensive,Documented crosswalk,209.54,0,20148318.700000003,0,20148318.700000003,0,0,TRUE,0,TRUE,TRUE,TRUE
Excludes DAFB,Base Funding (State Support),School Psychologist,Analytical assumption,132.65714285714284,0,0,12755647.571428578,12755647.571428578,0,0,TRUE,0,TRUE,TRUE,TRUE
Excludes DAFB,Base Funding (State Support),Secretary,Analytical assumption,1053,0,0,77939901,77939901,0,0,TRUE,0,TRUE,TRUE,TRUE
Excludes DAFB,Base Funding (State Support),Visiting Teacher,Analytical assumption,47.018640000000005,0,0,4521077.3292,4521077.3292,0,0,TRUE,0,TRUE,TRUE,TRUE
Excludes DAFB,Base Funding (State Support),Vocational Deduct,Calculator-supplied,-419.6100000000001,-40347599.55000002,0,0,-40347599.55000002,0,0,TRUE,0,TRUE,TRUE,TRUE
Excludes DAFB,Base Funding (State Support),Vocational Division I,Calculator-supplied,838.8300000000003,80657698.64999999,0,0,80657698.64999999,0,0,TRUE,0,TRUE,TRUE,TRUE
