DistrictCode,DistrictName,CalculatorLEAName,IncludeInStatewide,CalculatorRow,CalculationUnitSequence,SchoolCalculationUnitCount,CalculationUnitName,CalculatorK3,Calculator4To12,CalculatorBasicPreK12,CalculatorIntensive,CalculatorComplex,CalculatorEnrollment,CalculatorVocationalDeduct,CalculatorVocationalDivisionI
69,ASPIRA Delaware,Las_Americas_Aspira_Academy_Charter_School,TRUE,193,1,3,Aspira Primary,384,178,68,55,9,694,0,0
69,ASPIRA Delaware,Las_Americas_Aspira_Academy_Charter_School,TRUE,194,2,3,Aspira Junior High,0,346,27,28,3,404,0,0
69,ASPIRA Delaware,Las_Americas_Aspira_Academy_Charter_School,TRUE,195,3,3,Aspira High School,0,291,46,33,8,378,-1.82,3.63
70,Charter School of Wilmington,Charter_School_of_Wilmington,TRUE,80,1,1,Charter_School_of_Wilmington,0,966,11,2,1,980,0,0
71,Positive Outcomes Charter School,Positive_Outcomes_Charter_School,TRUE,232,1,2,Positive Middle School,0,15,7,5,5,32,0,0
71,Positive Outcomes Charter School,Positive_Outcomes_Charter_School,TRUE,233,2,2,Postive High School,0,35,20,12,18,85,-0.32,0.64
72,East Side Charter School,East_Side_Charter_School,TRUE,150,1,2,East Side Primary,169,79,36,15,6,305,0,0
72,East Side Charter School,East_Side_Charter_School,TRUE,151,2,2,East Side Junior,0,124,25,5,1,155,0,0
74,Campus Community School,Campus_Community_School_Charter_School,TRUE,48,1,2,Campus Community Primary,153,80,20,4,6,263,0,0
74,Campus Community School,Campus_Community_School_Charter_School,TRUE,49,2,2,Campus Community Junior High,0,115,19,4,1,139,-0.16,0.31
76,Edison (Thomas A.) Charter School,Edison_Charter_School,TRUE,153,1,3,Edison Primary,208,0,9,13,7,237,0,0
76,Edison (Thomas A.) Charter School,Edison_Charter_School,TRUE,154,2,3,Edison Intermediate,0,104,11,4,4,123,0,0
76,Edison (Thomas A.) Charter School,Edison_Charter_School,TRUE,155,3,3,Edison Junior High,0,141,24,8,5,178,0,0
77,Sussex Academy,Sussex_Academy_Charter_School,TRUE,284,1,3,SAS Primary,174,76,25,3,0,279,0,0
77,Sussex Academy,Sussex_Academy_Charter_School,TRUE,285,2,3,SAS Junior High,0,347,37,5,0,388,-0.32,0.64
77,Sussex Academy,Sussex_Academy_Charter_School,TRUE,286,3,3,SAS High School,0,490,31,2,0,523,-1.21,2.41
79,Delaware Military Academy,Delaware_Military_Academy_Charter_School,TRUE,140,1,1,Delaware_Military_Academy_Charter_School,0,501,54,0,0,555,-1.75,3.5
80,Charter School of New Castle,Charter_School_of_New_Castle,TRUE,77,1,2,New Castle Primary,271,162,21,9,8,471,0,0
80,Charter School of New Castle,Charter_School_of_New_Castle,TRUE,78,2,2,New Castle Junior,0,246,27,11,4,288,0,0
82,Kuumba Academy Charter School,Kuumba_Academy_Charter_School,TRUE,182,1,2,Kuumba Primary,228,106,25,16,1,376,0,0
82,Kuumba Academy Charter School,Kuumba_Academy_Charter_School,TRUE,183,2,2,Kuumba Junior High,0,131,30,14,5,180,0,0
85,Academy of Dover Charter School,Academy_of_Dover_Charter_School,TRUE,5,1,2,Academy of Dover Early Learning,136,0,17,11,6,170,0,0
85,Academy of Dover Charter School,Academy_of_Dover_Charter_School,TRUE,6,2,2,Academy of Dover Main,49,179,35,16,5,284,0,0
86,Odyssey Charter School,Odyssey_Charter_School,TRUE,225,1,4,Odyssey Primary,750,0,57,22,5,834,0,0
86,Odyssey Charter School,Odyssey_Charter_School,TRUE,226,2,4,Odyssey Intermediate,0,349,57,9,5,420,0,0
86,Odyssey Charter School,Odyssey_Charter_School,TRUE,227,3,4,Odyssey Middle School,0,581,82,18,2,683,0,0
