DistrictCode,DistrictName,ParentSchoolCode,ParentSchoolName,CalculatorLEAName,CalculatorRow,CalculationUnitSequence,SchoolCalculationUnitCount,CalculationUnitName,InputCategory,CalculatorValue,CalculatorBuildingTotal,CalculatorOrganizationTotal,SharedLEATotal,BuildingVsSharedDifference,OrganizationVsSharedDifference,AllocationShare,AllocationMethod,AllocationRule,ProportionalAdjustedValue,IntegerAdjustedValue,Remainder,RemainderRank,StudentsRemaining,StudentsAddedByLargestRemainder,FinalAdjustedValue
69,ASPIRA Delaware,568,ASPIRA Academy,Las_Americas_Aspira_Academy_Charter_School,193,1,3,Aspira Primary,BasicPreK12Enrollment,68,141,141,141,0,0,0.48226950354609927,Calculator category share,Largest remainder; ties by CalculationUnitSequence,68,68,0,2,0,0,68
69,ASPIRA Delaware,568,ASPIRA Academy,Las_Americas_Aspira_Academy_Charter_School,193,1,3,Aspira Primary,Enrollment4_12,178,815,815,814,-1,-1,0.2184049079754601,Calculator category share,Largest remainder; ties by CalculationUnitSequence,177.78159509202453,177,0.7815950920245314,1,2,1,178
69,ASPIRA Delaware,568,ASPIRA Academy,Las_Americas_Aspira_Academy_Charter_School,193,1,3,Aspira Primary,EnrollmentComplex,9,20,20,20,0,0,0.45,Calculator category share,Largest remainder; ties by CalculationUnitSequence,9,9,0,1,0,0,9
69,ASPIRA Delaware,568,ASPIRA Academy,Las_Americas_Aspira_Academy_Charter_School,193,1,3,Aspira Primary,EnrollmentIntense,55,116,116,116,0,0,0.47413793103448276,Calculator category share,Largest remainder; ties by CalculationUnitSequence,55,55,0,1,0,0,55
69,ASPIRA Delaware,568,ASPIRA Academy,Las_Americas_Aspira_Academy_Charter_School,193,1,3,Aspira Primary,EnrollmentK3,384,384,384,384,0,0,1,Calculator category share,Largest remainder; ties by CalculationUnitSequence,384,384,0,1,0,0,384
69,ASPIRA Delaware,568,ASPIRA Academy,Las_Americas_Aspira_Academy_Charter_School,193,1,3,Aspira Primary,UnitsVocational,0,3.63,3.63,3.63,0,0,0,Calculator category share,Full-precision proportional allocation,0,,,,,0,0
69,ASPIRA Delaware,568,ASPIRA Academy,Las_Americas_Aspira_Academy_Charter_School,193,1,3,Aspira Primary,UnitsVocationalDeduct,0,-1.82,-1.82,-1.82,0,0,0,Calculator category share,Full-precision proportional allocation,-0,,,,,0,-0
69,ASPIRA Delaware,568,ASPIRA Academy,Las_Americas_Aspira_Academy_Charter_School,194,2,3,Aspira Junior High,BasicPreK12Enrollment,27,141,141,141,0,0,0.19148936170212766,Calculator category share,Largest remainder; ties by CalculationUnitSequence,27,27,0,3,0,0,27
69,ASPIRA Delaware,568,ASPIRA Academy,Las_Americas_Aspira_Academy_Charter_School,194,2,3,Aspira Junior High,Enrollment4_12,346,815,815,814,-1,-1,0.4245398773006135,Calculator category share,Largest remainder; ties by CalculationUnitSequence,345.5754601226994,345,0.5754601226993827,3,2,0,345
69,ASPIRA Delaware,568,ASPIRA Academy,Las_Americas_Aspira_Academy_Charter_School,194,2,3,Aspira Junior High,EnrollmentComplex,3,20,20,20,0,0,0.15,Calculator category share,Largest remainder; ties by CalculationUnitSequence,3,3,0,2,0,0,3
