Check,Value,Status
Charter LEAs,24,Info
Charter calculator buildings,48,Info
District and DAFB school-code calculation units,208,Info
Total proposed school calculation units excluding DAFB,253,Info
Total proposed school calculation units including DAFB,256,Info
Charter categories adjusted to shared totals,1,Review
Charter student categories using largest remainder,120,Info
Adjusted charter student categories resolved by largest remainder,1,Review
Charter categories using enrollment fallback,0,Pass
Charter categories using manual shares,0,Pass
Raw operational enrollment excluding DAFB,140829,Info
Raw operational enrollment including DAFB,141306,Info
Operational enrollment basis,total,Info
