AggregationLevel,RecordType,SchoolYear,CountDate,DistrictCode,DistrictName,SchoolCode,SchoolName,IsSchool,SourceExcelRow,SourceRowCount,SelectionRule,EnrollmentPreK,EnrollmentK3,Enrollment4_12,EnrollmentBasicK12,EnrollmentIntense,EnrollmentComplex,RegularEdEnrollment,SpecialEdEnrollment,BaseUnitEnrollmentTotal,Enrollment,LI,MLL,K8Enrollment,Grade10Enrollment,UnitsPreK,UnitsK3,Units4_12,UnitsBasicK12,UnitsIntense,UnitsComplex,UnitsVocational,UnitsVocationalDeduct,UnitsTotal,LEAType,CalculatorLEAName,CalculatorLEAKey,IncludeInStatewide,LEASchoolCalculationUnitCount,SchoolCalculationUnitCount,OperationalEnrollmentBasis,CharterBuildingPolicy
District,LEA total,2026,2025-09-30,69,ASPIRA Delaware,,LEA Total,FALSE,30,,,0,384,814,141,116,20,1198,277,1475,1475,402,493,1097,90,0,23.7,40.7,16.79,19.33,7.69,3.63,-1.82,110.02,Charter,Las_Americas_Aspira_Academy_Charter_School,las americas aspira academy charter school,TRUE,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,9605,Academia Antonia Alonso,,LEA Total,FALSE,4,,,0,373,476,48,19,7,849,74,923,923,275,536,923,0,0,23.02,23.8,5.71,3.17,2.69,0,0,58.39,Charter,Academia_Antonia_Alonso_ Charter_School,academia antonia alonso charter school,TRUE,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,85,Academy of Dover Charter School,,LEA Total,FALSE,6,,,0,185,179,52,27,11,364,90,454,454,180,57,454,0,0,11.42,8.95,6.19,4.5,4.23,0,0,35.29,Charter,Academy_of_Dover_Charter_School,academy of dover charter school,TRUE,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,29,Appoquinimink School District,,LEA Total,FALSE,28,,,51,3254,7554,1092,483,524,10808,2150,12958,12958,1415,562,8954,991,6.07,200.86,377.7,130,80.5,201.54,100.32,-50.16,1046.83,District,Appo,appo,TRUE,21,21,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,31,Brandywine School District,,LEA Total,FALSE,47,,,107,2500,5392,953,543,575,7892,2178,10070,10070,2526,655,6912,723,12.74,154.32,269.6,113.45,90.5,221.15,47.09,-23.55,885.3,District,Brandywine,brandywine,TRUE,16,16,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,9615,Bryan Allen Stevenson School of Excellence,,LEA Total,FALSE,49,,,0,0,84,22,13,4,84,39,123,123,40,3,104,0,0,0,4.2,2.62,2.17,1.54,0,0,10.53,Charter,Bryan_Allen_Stevenson_School_of_Excellence_Charter_School,bryan allen stevenson school of excellence charter school,TRUE,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,10,Caesar Rodney School District,,LEA Total,FALSE,64,,,31,1846,4568,719,316,388,6414,1454,7868,7868,1952,547,5396,569,3.69,113.95,228.4,85.6,52.67,149.23,31.4,-15.7,649.24,District,CR,cr,TRUE,12,12,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,74,Campus Community School,,LEA Total,FALSE,70,,,0,153,195,39,8,7,348,54,402,402,170,5,402,0,0,9.44,9.75,4.64,1.33,2.69,0.31,-0.16,28,Charter,Campus_Community_School_Charter_School,campus community school charter school,TRUE,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,17,Cape Henlopen School District,,LEA Total,FALSE,81,,,75,1677,3781,573,189,436,5458,1273,6731,6731,1128,607,4560,509,8.93,103.52,189.05,68.21,31.5,167.69,27.7,-13.85,582.75,District,Cape,cape,TRUE,10,10,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,13,Capital School District,,LEA Total,FALSE,96,,,43,1729,3252,666,266,428,4981,1403,6384,6384,2595,815,4367,394,5.12,106.73,162.6,79.29,44.33,164.62,24.53,-12.27,574.95,District,Capital,capital,TRUE,14,14,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,80,Charter School of New Castle,,LEA Total,FALSE,98,,,0,271,408,48,20,12,679,80,759,759,360,21,759,0,0,16.73,20.4,5.71,3.33,4.62,0,0,50.79,Charter,Charter_School_of_New_Castle,charter school of new castle,TRUE,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,70,Charter School of Wilmington,,LEA Total,FALSE,100,,,0,0,966,11,2,1,966,14,980,980,28,4,0,249,0,0,48.3,1.31,0.33,0.38,0,0,50.32,Charter,Charter_School_of_Wilmington,charter school of wilmington,TRUE,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,33,Christina School District,,LEA Total,FALSE,131,,,265,3209,6025,1072,950,1278,9234,3565,12799,12799,4434,1899,8970,836,31.55,198.09,301.25,127.62,158.33,491.54,47.23,-23.62,1331.99,District,Christina,christina,TRUE,29,29,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,34,Colonial School District,,LEA Total,FALSE,147,,,117,2122,3993,690,931,420,6115,2158,8273,8273,2635,1212,5975,541,13.93,130.99,199.65,82.14,155.17,161.54,43.74,-21.87,765.29,District,Colonial,colonial,TRUE,14,14,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,79,Delaware Military Academy,,LEA Total,FALSE,149,,,0,0,501,54,0,0,501,54,555,555,63,16,0,150,0,0,25.05,6.43,0,0,3.5,-1.75,33.23,Charter,Delaware_Military_Academy_Charter_School,delaware military academy charter school,TRUE,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,37,Delmar School District,,LEA Total,FALSE,152,,,8,0,1325,90,30,18,1325,146,1471,1471,189,90,767,175,0.95,0,66.25,10.71,5,6.92,14.18,-7.09,96.92,District,Delmar,delmar,TRUE,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,14,Dover Air Force Base,,LEA Total,FALSE,68,,,0,174,219,53,18,13,393,84,477,477,22,8,416,14,0,10.74,10.95,6.31,3,5,0.37,-0.19,36.18,Dover Air Force Base,DAFB,dafb,FALSE,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,9604,Early College High School at Del State,,LEA Total,FALSE,154,,,0,0,536,51,5,5,536,61,597,597,186,17,184,133,0,0,26.8,6.07,0.83,1.92,0,0,35.62,Charter,Early_College_High_School_at_Del_State_Charter_School,early college high school at del state charter school,TRUE,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,72,East Side Charter School,,LEA Total,FALSE,156,,,0,169,203,61,20,7,372,88,460,460,327,4,460,0,0,10.43,10.15,7.26,3.33,2.69,0,0,33.86,Charter,East_Side_Charter_School,east side charter school,TRUE,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,76,Edison (Thomas A.) Charter School,,LEA Total,FALSE,158,,,0,208,245,44,25,16,453,85,538,538,409,1,538,0,0,12.84,12.25,5.24,4.17,6.15,0,0,40.65,Charter,Edison_Charter_School,edison charter school,TRUE,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,9607,First State Military Academy,,LEA Total,FALSE,160,,,0,0,340,58,19,7,340,84,424,424,67,27,0,116,0,0,17,6.9,3.17,2.69,0,0,29.76,Charter,First_State_Military_Academy_Charter_School,first state military academy charter school,TRUE,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,9606,First State Montessori Academy,,LEA Total,FALSE,162,,,0,273,285,56,29,5,558,90,648,648,64,2,648,0,0,16.85,14.25,6.67,4.83,1.92,0,0,44.52,Charter,First_State_Montessori_Academy_Charter_School,first state montessori academy charter school,TRUE,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,9612,Freire Charter School Wilmington,,LEA Total,FALSE,164,,,0,0,257,68,37,8,257,113,370,370,176,19,71,64,0,0,12.85,8.1,6.17,3.08,0,0,30.2,Charter,Freire_Charter_School_of_Wilmington,freire charter school of wilmington,TRUE,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,92,Gateway Charter School,,LEA Total,FALSE,166,,,0,66,59,49,26,11,125,86,211,211,98,4,211,0,0,4.07,2.95,5.83,4.33,4.23,0,0,21.41,Charter,Gateway_Charter_School,gateway charter school,TRUE,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,9611,Great Oaks Charter School,,LEA Total,FALSE,168,,,0,0,80,23,29,9,80,61,141,141,87,5,0,39,0,0,4,2.74,4.83,3.46,0,0,15.03,Charter,Great_Oaks_Charter_School,great oaks charter school,TRUE,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,36,Indian River School District,,LEA Total,FALSE,184,,,111,2725,5905,757,622,500,8630,1990,10620,10620,2523,2689,7349,788,13.21,168.21,295.25,90.12,103.67,192.31,47.95,-23.98,886.74,District,IR,ir,TRUE,15,15,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,82,Kuumba Academy Charter School,,LEA Total,FALSE,186,,,0,228,237,55,30,6,465,91,556,556,342,2,556,0,0,14.07,11.85,6.55,5,2.31,0,0,39.78,Charter,Kuumba_Academy_Charter_School,kuumba academy charter school,TRUE,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
District,LEA total,2026,2025-09-30,15,Lake Forest School District,,LEA Total,FALSE,194,,,41,1033,1970,476,127,117,3003,761,3764,3764,1190,155,2674,279,4.88,63.77,98.5,56.67,21.17,45,16.39,-8.2,298.18,District,Lake,lake,TRUE,7,7,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
