SummaryScope,OperationalEnrollmentBasis,CharterBuildingPolicy,FundingSection,QuantityType,Component,RawInputValue,FundingQuantity,RowsMissingInput,CalculationComplete
Includes DAFB,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Position,Administrative Support Professionals,14404.9856,1295,0,TRUE
Includes DAFB,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Position,Assistant Principal,15443.9856,495.25,0,TRUE
Includes DAFB,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Position,Division I Teacher - 4-12 Regular Education,80013,4000.65,0,TRUE
Includes DAFB,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Position,Division I Teacher - Complex Special Education,6381,2454.23,0,TRUE
Includes DAFB,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Position,Division I Teacher - Intensive Special Education,6933,1155.5,0,TRUE
Includes DAFB,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Position,Division I Teacher - K-3 Regular Education,34033,2100.8,0,TRUE
Includes DAFB,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Position,Division I Teacher - Pre-K-12 Basic Special Education,13946,1660.24,0,TRUE
Includes DAFB,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Position,Instructional Supports,11790.821334,2358.16,0,TRUE
Includes DAFB,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Position,Principal,256,256,0,TRUE
Includes DAFB,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Position,Vocational Deduct,-419.8,-419.8,0,TRUE
Includes DAFB,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Position,Vocational Division I,839.2,839.2,0,TRUE
Includes DAFB,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Position,11-Month Supervisor,16195.2356,107.97,0,TRUE
Includes DAFB,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Position,Administrative Assistant,44,44,0,TRUE
Includes DAFB,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Position,Assistant Superintendent,16195.2356,24,0,TRUE
Includes DAFB,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Position,Buildings and Grounds Supervisor,44,44,0,TRUE
Includes DAFB,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Position,Director,16195.2356,75,0,TRUE
Includes DAFB,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Position,Food Services Supervisor,11790.821334,47,0,TRUE
Includes DAFB,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Position,Reading Cadre,44,44,0,TRUE
Includes DAFB,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Position,Superintendent,44,44,0,TRUE
Includes DAFB,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Position,Transportation Supervisor,141306,18.84,0,TRUE
Includes DAFB,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Operational Funding (State Support),Weighted student,Operational Funding - Basic Special Education,13946,6694.08,0,TRUE
Includes DAFB,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Operational Funding (State Support),Weighted student,Operational Funding - Complex Special Education,6381,9826.74,0,TRUE
Includes DAFB,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Operational Funding (State Support),Weighted student,Operational Funding - Enrollment,141306,28261.2,0,TRUE
