Model,CalculationLevel,SchoolYear,CountDate,DistrictCode,DistrictName,LEAType,IncludeInStatewide,SchoolCode,SchoolName,IsSchool,IsSchoolCalculationUnit,CalculationUnitType,CalculationUnitName,CalculationUnitSequence,SchoolCalculationUnitCount,OperationalEnrollmentBasis,CharterBuildingPolicy,FundingSection,Component,RateComponent,QuantityType,SourceField,Rule,RawInputValue,AppliedFactor,FundingQuantity,CalculationStatus,CalculationComplete,ProvidedFundingRate,RateBasis,RateSourceCell,RecalculatedFundingRate,SelectedFundingRate,SelectedMethod,FundingRate,RateMethod,RateAvailable,FundingAmount,FundingComplete
Proposed model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),11-Month Supervisor,11-Month Supervisor,Position,TotalBasePositions,Total Base positions divided by 150; fractional positions are retained.,151.0300708180708,0.00666666666666666,1.0068671387871388,Calculated from Total Base positions; fractional positions retained,TRUE,113281.67,Per position,Calculator!E39,,,,113281.67,provided,TRUE,114059.59094992887,TRUE
Proposed model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Administrative Assistant,Administrative Assistant,Position,LEA,One position per LEA.,1,1,1,Calculated,TRUE,111365,Per position,Calculator!E36,,,,111365,provided,TRUE,111365,TRUE
Proposed model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Assistant Superintendent,Assistant Superintendent,Position,TotalBasePositions,"One per completed 300 Total Base positions, capped at two. The proposed materials do not explicitly authorize fractional positions, so the current-model completed-threshold rule is retained.",151.0300708180708,,0,Calculated from Total Base positions using completed 300-position thresholds; maximum two,TRUE,167858,Per position,Calculator!E37,,,,167858,provided,TRUE,0,TRUE
Proposed model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Buildings and Grounds Supervisor,Buildings and Grounds Supervisor,Position,LEA,One position per LEA.,1,1,1,Calculated,TRUE,123580,Per position,Calculator!E40,,,,123580,provided,TRUE,123580,TRUE
Proposed model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Director,Director,Position,TotalBasePositions,"One at 200 Total Base positions plus one per completed additional 100, capped at six.",151.0300708180708,,0,Calculated from Total Base positions using completed thresholds,TRUE,166369,Per position,Calculator!E38,,,,166369,provided,TRUE,0,TRUE
Proposed model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Food Services Supervisor,Food Services Supervisor,Position,BaseDivisionIPositions,One per LEA plus one per completed 500 Base Division I positions beyond the first 500.,110.025059015059,,1,Calculated from Base Division I positions using completed thresholds,TRUE,123580,Per position,Calculator!E41,,,,123580,provided,TRUE,123580,TRUE
Proposed model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Reading Cadre,Reading Cadre,Position,LEA,One position per LEA.,1,1,1,Calculated,TRUE,96155,Per position,Calculator!E43,,,,96155,provided,TRUE,96155,TRUE
Proposed model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Superintendent,Superintendent,Position,LEA,One position per LEA.,1,1,1,Calculated,TRUE,188319,Per position,Calculator!E35,,,,188319,provided,TRUE,188319,TRUE
Proposed model,LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Transportation Supervisor,Transportation Supervisor,Position,Enrollment,"Enrollment divided by 7,500.",1475,1.3333333333333334e-4,0.19666666666666663,Calculated,TRUE,123580,Per position,Calculator!E42,,,,123580,provided,TRUE,24304.066666666662,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira Primary,1,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Administrative Support Professionals,Administrative Support Professionals,Position,AdministrativeSupportBase,One per 10 positions through 100; one per completed 12 thereafter.,64.99257631257632,,6,Calculated using threshold formula,TRUE,74017,Per position,Calculator!E15,,,,74017,provided,TRUE,444102,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira Primary,1,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Assistant Principal,Assistant Principal,Position,AssistantPrincipalBase,"Apply the 25, 30, 50, 55, and additional 20-position thresholds.",69.99257631257632,,2,Calculated using threshold formula,TRUE,134266,Per position,Calculator!E14,,,,134266,provided,TRUE,268532,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira Primary,1,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - 4-12 Regular Education,Division I Teacher - 4-12 Regular Education,Position,Enrollment4_12,Regular 4-12 enrollment divided by 20.,178,0.05,8.9,Calculated from adjusted charter building input,TRUE,96155,Per position,Calculator!E7,,,,96155,provided,TRUE,855779.5,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira Primary,1,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - Complex Special Education,Division I Teacher - Complex Special Education,Position,EnrollmentComplex,Complex enrollment divided by 2.6.,9,0.3846153846153846,3.4615384615384612,Calculated from adjusted charter building input,TRUE,96155,Per position,Calculator!E10,,,,96155,provided,TRUE,332844.23076923075,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira Primary,1,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - Intensive Special Education,Division I Teacher - Intensive Special Education,Position,EnrollmentIntense,Intensive enrollment divided by 6.,55,0.16666666666666666,9.166666666666666,Calculated from adjusted charter building input,TRUE,96155,Per position,Calculator!E9,,,,96155,provided,TRUE,881420.8333333333,TRUE
Proposed model,School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,TRUE,TRUE,Charter building,Aspira Primary,1,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - K-3 Regular Education,Division I Teacher - K-3 Regular Education,Position,EnrollmentK3,Regular K-3 enrollment divided by 16.2.,384,0.0617283950617284,23.703703703703702,Calculated from adjusted charter building input,TRUE,96155,Per position,Calculator!E6,,,,96155,provided,TRUE,2279229.6296296297,TRUE
