SchoolYear,CountDate,DistrictCode,DistrictName,LEAType,IncludeInStatewide,OperationalEnrollmentBasis,CharterBuildingPolicy,SchoolCalculationUnitCount,ProposedPrincipalPositions,BaseFundingAmount,OpportunityFundingAmount,OperationalFundingAmount,CentralOfficeFundingAmount,TotalModeledFundingAmount,ComponentsMissingInput,ComponentsMissingRate,OverallComplete
2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,3,3,14579814.459511602,2489372.724903374,3197301.2578419675,781362.6576165955,21047851.09987354,0,0,TRUE
2026,2025-09-30,9605,Academia Antonia Alonso,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,2,2,7797349.823850224,2165174.311052054,2173093.0870374185,718909.5930417186,12854526.814981416,0,0,TRUE
2026,2025-09-30,85,Academy of Dover Charter School,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,2,2,4687541.053805455,733807.2623065265,971935.9057135931,686729.2382119932,7080013.460037567,0,0,TRUE
2026,2025-09-30,29,Appoquinimink School District,District,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,21,21,138596260.116516,6033485.141790862,18963848.065380607,3399620.848026435,166993214.17171395,0,0,TRUE
2026,2025-09-30,31,Brandywine School District,District,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,16,16,117058847.25950348,9960756.883787226,19228816.615843203,3061213.9116490455,149309634.67078295,0,0,TRUE
2026,2025-09-30,9615,Bryan Allen Stevenson School of Excellence,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,1,1,1441424.5516483516,140585.7732964355,254910.5672200557,656073.7039685568,2492994.5961333998,0,0,TRUE
2026,2025-09-30,10,Caesar Rodney School District,District,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,12,12,85688751.63295893,7792291.846257094,14616508.229253711,2778007.103992252,110875558.81246196,0,0,TRUE
2026,2025-09-30,74,Campus Community School,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,2,2,3760482.396336997,579464.767793474,762261.8899430934,678785.7670331332,5780994.8211066965,0,0,TRUE
2026,2025-09-30,17,Cape Henlopen School District,District,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,10,10,76992403.34744813,5179504.507273709,11714056.993898679,2691434.704501385,96577399.55312192,0,0,TRUE
2026,2025-09-30,13,Capital School District,District,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,14,14,76462423.6789662,10563355.706144614,15368517.15081868,2679628.4291966073,105073924.96512613,0,0,TRUE
2026,2025-09-30,80,Charter School of New Castle,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,2,2,6671097.333251934,1251317.3000165313,1493553.6408549894,707576.8608200548,10123545.13494351,0,0,TRUE
2026,2025-09-30,70,Charter School of Wilmington,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,1,1,6672784.745054945,102829.01686377788,730999.2732085584,711553.1279449963,8218166.163072277,0,0,TRUE
2026,2025-09-30,33,Christina School District,District,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,29,29,176710622.05270672,19227145.738396134,32169492.60001741,3694397.7738927337,231801658.16501305,0,0,TRUE
2026,2025-09-30,34,Colonial School District,District,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,14,14,101448851.0217013,11620297.463215565,18855046.359739,2907712.271765166,134831907.11642098,0,0,TRUE
2026,2025-09-30,79,Delaware Military Academy,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,1,1,4417510.942857143,247645.72420345354,607589.931161368,686788.691305143,5959535.289527109,0,0,TRUE
2026,2025-09-30,37,Delmar School District,District,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,2,2,12841716.393846154,840619.7901700803,1982137.6442805282,767918.6524121435,16432392.480708905,0,0,TRUE
2026,2025-09-30,14,Dover Air Force Base,Dover Air Force Base,FALSE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,3,3,4943214.905396825,92090.85677742571,565879.3609131603,688669.3283510328,6289854.451438444,0,0,TRUE
2026,2025-09-30,9604,Early College High School at Del State,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,1,1,4694352.810989011,660817.4644845475,1005050.8812359334,689655.0834472674,7049876.2401567595,0,0,TRUE
2026,2025-09-30,72,East Side Charter School,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,2,2,4570529.806389906,1101552.1318075687,1196120.0653218995,685804.3193114753,7554006.322830849,0,0,TRUE
2026,2025-09-30,76,Edison (Thomas A.) Charter School,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,3,3,5445486.3087098105,1368472.111096894,1451518.095380851,693987.7733665798,8959464.288554134,0,0,TRUE
2026,2025-09-30,9607,First State Military Academy,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,1,1,3943700.472527473,286590.11124473996,630663.1722024491,680734.9309951649,5541688.686969826,0,0,TRUE
2026,2025-09-30,9606,First State Montessori Academy,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,2,2,5948034.431623932,218425.0627703155,740131.0770572117,700068.8673727066,7606659.438824166,0,0,TRUE
2026,2025-09-30,9612,Freire Charter School Wilmington,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,1,1,3992750.0890109893,632066.9068339918,882242.7433567148,680230.3956633992,6187290.134865096,0,0,TRUE
