StatewideScope,FundingSection,Component,QuantityType,RateMethod,OperationalEnrollmentBasis,CharterBuildingPolicy,RawInputValue,FundingQuantity,FundingRate,FundingAmount,RowsMissingInput,RowsMissingRate,OverallComplete
Excludes DAFB,Base Funding (State Support),Administrative Support Professionals,Position,provided,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,14357.669282865281,1292,74017,95629964,0,0,TRUE
Excludes DAFB,Base Funding (State Support),Assistant Principal,Position,provided,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,15396.669282865281,494.6,134266,66407963.59999997,0,0,TRUE
Excludes DAFB,Base Funding (State Support),Division I Teacher - 4-12 Regular Education,Position,provided,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,79794,3989.7,96155,383629603.5,0,0,TRUE
Excludes DAFB,Base Funding (State Support),Division I Teacher - Complex Special Education,Position,provided,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,6368,2449.2307692307686,96155,235505784.61538452,0,0,TRUE
Excludes DAFB,Base Funding (State Support),Division I Teacher - Intensive Special Education,Position,provided,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,6915,1152.4999999999998,96155,110818637.50000003,0,0,TRUE
Excludes DAFB,Base Funding (State Support),Division I Teacher - K-3 Regular Education,Position,provided,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,33859,2090.0617283950623,96155,200969885.4938272,0,0,TRUE
Excludes DAFB,Base Funding (State Support),Division I Teacher - Pre-K-12 Basic Special Education,Position,provided,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,13893,1653.9285714285725,96155,159033501.78571427,0,0,TRUE
Excludes DAFB,Base Funding (State Support),Instructional Supports,Position,provided,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,11754.641069054407,2350.0282138108805,96155,225966962.8989852,0,0,TRUE
Excludes DAFB,Base Funding (State Support),Principal,Position,provided,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,253,253,153065,38725445,0,0,TRUE
Excludes DAFB,Base Funding (State Support),Vocational Deduct,Position,provided,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,-419.6100000000001,-419.6100000000001,96155,-40347599.55000001,0,0,TRUE
Excludes DAFB,Base Funding (State Support),Vocational Division I,Position,provided,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,838.8300000000003,838.8300000000003,96155,80657698.64999998,0,0,TRUE
Excludes DAFB,Central Office Funding (State Support),11-Month Supervisor,Position,provided,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,11754.660000000002,78.36439999999999,113281.67,8877250.100548,0,0,TRUE
Excludes DAFB,Central Office Funding (State Support),Administrative Assistant,Position,provided,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,43,43,111365,4788695,0,0,TRUE
Excludes DAFB,Central Office Funding (State Support),Assistant Superintendent,Position,provided,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,11754.660000000002,19,167858,3189302,0,0,TRUE
Excludes DAFB,Central Office Funding (State Support),Buildings and Grounds Supervisor,Position,provided,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,43,43,123580,5313940,0,0,TRUE
Excludes DAFB,Central Office Funding (State Support),Director,Position,provided,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,11754.660000000002,60,166369,9982140,0,0,TRUE
Excludes DAFB,Central Office Funding (State Support),Food Services Supervisor,Position,provided,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,11754.660000000002,46,123580,5684680,0,0,TRUE
Excludes DAFB,Central Office Funding (State Support),Reading Cadre,Position,provided,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,43,43,96155,4134665,0,0,TRUE
Excludes DAFB,Central Office Funding (State Support),Superintendent,Position,provided,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,43,43,188319,8097717,0,0,TRUE
Excludes DAFB,Central Office Funding (State Support),Transportation Supervisor,Position,provided,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,140829,18.777199999999993,123580,2320486.3759999997,0,0,TRUE
Excludes DAFB,Operational Funding (State Support),Operational Funding - Basic Special Education,Weighted student,recalculated,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,13893,6668.640000000002,3249.752259307186,21671427.906506274,0,0,TRUE
Excludes DAFB,Operational Funding (State Support),Operational Funding - Complex Special Education,Weighted student,recalculated,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,6368,9806.719999999998,3249.752259307186,31869410.476392977,0,0,TRUE
Excludes DAFB,Operational Funding (State Support),Operational Funding - Enrollment,Weighted student,recalculated,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,140829,28165.800000000003,3249.752259307186,91531872.18519433,0,0,TRUE
Excludes DAFB,Operational Funding (State Support),Operational Funding - Intensive Special Education,Weighted student,recalculated,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,6915,4633.05,3249.752259307186,15056264.70498315,0,0,TRUE
Excludes DAFB,Operational Funding (State Support),Operational Funding - Low Income,Weighted student,recalculated,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,36713,24781.274999999987,3249.752259307186,80533004.4197627,0,0,TRUE
