RecordType,SchoolYear,CountDate,DistrictCode,DistrictName,LEAType,IncludeInStatewide,SchoolCode,SchoolName,ModelMatchStatus,CurrentCalculatorSuppliedFundingAmount,CurrentDocumentedCrosswalkFundingAmount,CurrentAnalyticalAssumptionFundingAmount,CurrentModelFundingAmount,CurrentComponentsMissingInput,CurrentRowsMissingInput,CurrentComponentsMissingRate,CurrentRowsMissingRate,ProposedCalculationUnitCount,ProposedPrincipalPositions,OperationalEnrollmentBasis,CharterBuildingPolicy,ProposedBaseFundingAmount,ProposedCentralOfficeFundingAmount,ProposedPositionBasedFundingAmount,ProposedOpportunityFundingAmount,ProposedOperationalFundingAmount,ProposedWeightedFundingAmount,ProposedModelFundingAmount,ProposedComponentsMissingInput,ProposedRowsMissingInput,ProposedComponentsMissingRate,ProposedRowsMissingRate,PositionBasedComparisonBasis,PositionBasedFundingDifference,PreliminaryPositionBasedPercentDifference,PositionBasedPercentDifference,FullModelComparisonBasis,FullModelFundingDifference,PreliminaryFullModelPercentDifference,FullModelPercentDifference,CurrentModelComplete,ProposedModelComplete,ComparisonComplete,ComparisonStatus,ComparisonInterpretation
LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,Matched,11487859.5,1463247.38,1355102.65,14306209.53,3,,2,,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,14579814.46,781362.66,15361177.12,2489372.72,3197301.26,5686673.98,21047851.1,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,1054967.58,7.374194,,Current modeled funding versus all proposed funding,6741641.57,47.123884,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,9605,Academia Antonia Alonso,Charter,TRUE,,LEA Total,Matched,6206757.81,615693.04,874334.46,7696785.3,3,,2,,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,7797349.82,718909.59,8516259.42,2165174.31,2173093.09,4338267.4,12854526.81,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,819474.12,10.646966,,Current modeled funding versus all proposed funding,5157741.51,67.011633,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,85,Academy of Dover Charter School,Charter,TRUE,,LEA Total,Matched,3826138.06,424760.22,472605.11,4723503.39,3,,2,,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,4687541.05,686729.24,5374270.29,733807.26,971935.91,1705743.17,7080013.46,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,650766.9,13.777208,,Current modeled funding versus all proposed funding,2356510.07,49.889031,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,29,Appoquinimink School District,District,TRUE,,LEA Total,Matched,110705922.76,15597102.1,11960060.05,138263084.91,2,,0,,21,21,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,138596260.12,3399620.85,141995880.96,6033485.14,18963848.07,24997333.21,166993214.17,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,3732796.06,2.699778,,Current modeled funding versus all proposed funding,28730129.26,20.77932,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,31,Brandywine School District,District,TRUE,,LEA Total,Matched,93929349.01,14737233.38,9869819.47,118536401.86,2,,0,,16,16,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,117058847.26,3061213.91,120120061.17,9960756.88,19228816.62,29189573.5,149309634.67,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,1583659.31,1.336011,,Current modeled funding versus all proposed funding,30773232.81,25.960998,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,9615,Bryan Allen Stevenson School of Excellence,Charter,TRUE,,LEA Total,Matched,1133856.24,146618.94,132353.41,1412828.59,3,,2,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,1441424.55,656073.7,2097498.26,140585.77,254910.57,395496.34,2492994.6,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,684669.66,48.460915,,Current modeled funding versus all proposed funding,1080166,76.454144,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,10,Caesar Rodney School District,District,TRUE,,LEA Total,Matched,69658545.58,10318597.51,7507357.89,87484500.99,2,,0,,12,12,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,85688751.63,2778007.1,88466758.74,7792291.85,14616508.23,22408800.08,110875558.81,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,982257.75,1.122779,,Current modeled funding versus all proposed funding,23391057.82,26.737374,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,74,Campus Community School,Charter,TRUE,,LEA Total,Matched,3071812.7,292108.15,368641.04,3732561.9,3,,2,,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,3760482.4,678785.77,4439268.16,579464.77,762261.89,1341726.66,5780994.82,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,706706.27,18.933544,,Current modeled funding versus all proposed funding,2048432.92,54.880079,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,17,Cape Henlopen School District,District,TRUE,,LEA Total,Matched,62016906.82,9979639.57,6453269.65,78449816.03,2,,0,,10,10,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,76992403.35,2691434.7,79683838.05,5179504.51,11714056.99,16893561.5,96577399.55,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,1234022.02,1.573008,,Current modeled funding versus all proposed funding,18127583.52,23.107235,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,13,Capital School District,District,TRUE,,LEA Total,Matched,61129465.89,9963986.01,6275509.64,77368961.54,2,,0,,14,14,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,76462423.68,2679628.43,79142052.11,10563355.71,15368517.15,25931872.86,105073924.97,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,1773090.57,2.291734,,Current modeled funding versus all proposed funding,27704963.43,35.808886,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
