RecordType,SchoolYear,CountDate,DistrictCode,DistrictName,LEAType,IncludeInStatewide,SchoolCode,SchoolName,ModelMatchStatus,CurrentConfirmedFundingAmount,CurrentMappedFundingAmount,CurrentAssumptionFundingAmount,CurrentModelFundingAmount,CurrentComponentsMissingInput,CurrentRowsMissingInput,CurrentComponentsMissingRate,CurrentRowsMissingRate,ProposedCalculationUnitCount,ProposedPrincipalPositions,OperationalEnrollmentBasis,CharterBuildingPolicy,ProposedBaseFundingAmount,ProposedCentralOfficeFundingAmount,ProposedPositionBasedFundingAmount,ProposedOpportunityFundingAmount,ProposedOperationalFundingAmount,ProposedWeightedFundingAmount,ProposedModelFundingAmount,ProposedComponentsMissingInput,ProposedRowsMissingInput,ProposedComponentsMissingRate,ProposedRowsMissingRate,PositionBasedComparisonBasis,PositionBasedFundingDifference,PreliminaryPositionBasedPercentDifference,PositionBasedPercentDifference,FullModelComparisonBasis,FullModelFundingDifference,PreliminaryFullModelPercentDifference,FullModelPercentDifference,CurrentModelComplete,ProposedModelComplete,ComparisonComplete,ComparisonStatus,ComparisonInterpretation
School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,Matched,11269102.1,850505.4,1312786.76,13432394.26,2,,2,,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,14050841.48,0,14050841.48,2489372.72,3197301.26,5686673.98,19737515.46,0,,0,,Current modeled funding versus proposed Base Funding,618447.22,4.604147,,Current modeled funding versus all proposed funding,6305121.21,46.939668,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
School,2026,2025-09-30,9605,Academia Antonia Alonso,Charter,TRUE,4045,Academia Antonia Alonso,Matched,6036087.45,464421.44,851876.5,7352385.38,2,,2,,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,7342041.27,0,7342041.27,2165174.31,2173093.09,4338267.4,11680308.67,0,,0,,Current modeled funding versus proposed Base Funding,-10344.11,-0.140691,,Current modeled funding versus all proposed funding,4327923.29,58.864206,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
School,2026,2025-09-30,85,Academy of Dover Charter School,Charter,TRUE,584,Academy Of Dover Charter School,Matched,3680640.95,200067.3,459031.87,4339740.12,2,,2,,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,4517870.76,0,4517870.76,733807.26,971935.91,1705743.17,6223613.92,0,,0,,Current modeled funding versus proposed Base Funding,178130.64,4.104638,,Current modeled funding versus all proposed funding,1883873.8,43.40983,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
School,2026,2025-09-30,29,Appoquinimink School District,District,TRUE,24,Appoquinimink High School,Matched,11115254.1,964737.54,740170,12820161.64,1,,0,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,13836370.49,0,13836370.49,621551.43,2060976.63,2682528.06,16518898.55,0,,0,,Current modeled funding versus proposed Base Funding,1016208.85,7.926646,,Current modeled funding versus all proposed funding,3698736.91,28.850938,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
School,2026,2025-09-30,29,Appoquinimink School District,District,TRUE,13,Appoquinimink PreSchool Center,Matched,3024025.15,75493.69,148034,3247552.84,1,,0,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,3711088.14,0,3711088.14,70144.43,516141.9,586286.34,4297374.48,0,,0,,Current modeled funding versus proposed Base Funding,463535.3,14.273372,,Current modeled funding versus all proposed funding,1049821.63,32.326545,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
School,2026,2025-09-30,29,Appoquinimink School District,District,TRUE,36,Brick Mill Early Childhood Center,Matched,3706602.8,143722.88,333755.64,4184081.32,1,,0,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,4515475.16,0,4515475.16,178515.73,621173.9,799689.62,5315164.78,0,,0,,Current modeled funding versus proposed Base Funding,331393.84,7.920349,,Current modeled funding versus all proposed funding,1131083.47,27.033018,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
School,2026,2025-09-30,29,Appoquinimink School District,District,TRUE,21,Brick Mill Elementary School,Matched,4320071.7,299094.94,569587.77,5188754.4,1,,0,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,5308269.85,0,5308269.85,378087.15,818108.88,1196196.04,6504465.88,0,,0,,Current modeled funding versus proposed Base Funding,119515.45,2.303355,,Current modeled funding versus all proposed funding,1315711.48,25.356981,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
School,2026,2025-09-30,29,Appoquinimink School District,District,TRUE,28,Bunker Hill Elementary School,Matched,4765269.35,306664.74,575329.59,5647263.68,1,,0,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,5941955.88,0,5941955.88,415002.67,892658.2,1307660.87,7249616.75,0,,0,,Current modeled funding versus proposed Base Funding,294692.2,5.218318,,Current modeled funding versus all proposed funding,1602353.07,28.373973,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
School,2026,2025-09-30,29,Appoquinimink School District,District,TRUE,33,Cantwells Bridge Middle School,Matched,6560132.2,434505.21,879958.88,7874596.29,1,,0,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,8133767.34,0,8133767.34,321427.28,1088033.31,1409460.58,9543227.92,0,,0,,Current modeled funding versus proposed Base Funding,259171.04,3.29123,,Current modeled funding versus all proposed funding,1668631.62,21.190059,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
School,2026,2025-09-30,29,Appoquinimink School District,District,TRUE,22,Cedar Lane Early Childhood Center,Matched,2183858.6,119078.35,288969.76,2591906.71,1,,0,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,2722726.61,0,2722726.61,114507.38,331182.25,445689.64,3168416.25,0,,0,,Current modeled funding versus proposed Base Funding,130819.9,5.047246,,Current modeled funding versus all proposed funding,576509.54,22.242681,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
School,2026,2025-09-30,29,Appoquinimink School District,District,TRUE,11,Cedar Lane Elementary School,Matched,4959502.45,342737.29,622308.18,5924547.91,1,,0,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,6165960.47,0,6165960.47,163893.02,746793.07,910686.09,7076646.56,0,,0,,Current modeled funding versus proposed Base Funding,241412.56,4.074784,,Current modeled funding versus all proposed funding,1152098.65,19.446187,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
