RecordType,SchoolYear,CountDate,DistrictCode,DistrictName,LEAType,IncludeInStatewide,SchoolCode,SchoolName,ModelMatchStatus,CurrentCalculatorSuppliedFundingAmount,CurrentDocumentedCrosswalkFundingAmount,CurrentAnalyticalAssumptionFundingAmount,CurrentModelFundingAmount,CurrentComponentsMissingInput,CurrentRowsMissingInput,CurrentComponentsMissingRate,CurrentRowsMissingRate,ProposedCalculationUnitCount,ProposedPrincipalPositions,OperationalEnrollmentBasis,CharterBuildingPolicy,ProposedBaseFundingAmount,ProposedCentralOfficeFundingAmount,ProposedPositionBasedFundingAmount,ProposedComponentsMissingInput,ProposedRowsMissingInput,ProposedComponentsMissingRate,ProposedRowsMissingRate,PositionBasedComparisonBasis,FullModelComparisonBasis,CurrentModelComplete,ProposedModelComplete,ComparisonComplete,ComparisonStatus,ComparisonInterpretation,ProposedOpportunityFundingAmount,ProposedOperationalFundingAmount,Enrollment,LI,MLL,CodedSchoolCount,ProgramRecordCount,ProposedWeightedFundingAmount,ProposedModelFundingAmount,PositionBasedFundingDifference,PreliminaryPositionBasedPercentDifference,PositionBasedPercentDifference,FullModelFundingDifference,PreliminaryFullModelPercentDifference,FullModelPercentDifference,ReportPositionBasedPercentDifference,ReportGrossFullModelPercentDifference,PositionBasedDirection,GrossFullModelDirection,CurrentModeledFundingPerStudent,ProposedPositionBasedFundingPerStudent,ProposedWeightedFundingPerStudent,ProposedFullModelFundingPerStudent,AdjustedReportingScope,ExcludedLEA,WeightedPoolTreatment,WeightedRateMethodSource,PositionBasedFundingDifferencePerStudent,FullModelFundingDifferencePerStudent,GrossFullModelPercentRank,PositionBasedPercentRank
LEA,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,,LEA Total,Matched,11487859.5,1463247.38,1355102.65,14306209.53,3,,2,,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,14579814.46,781362.66,15361177.12,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,2491521.6359209856,3200224.887906923,1475,402,493,1,0,5691746.523827909,21052923.643827908,1054967.5899999999,7.374193617028618,,6746714.113827908,47.15934084203161,,7.374193617028618,47.15934084203161,Increase,Increase,9699.125105084746,10414.357369491525,3858.8112025951923,14273.168572086717,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope,"Nick Johnson, POLYTECH School District",715.2322644067796,4574.043467001972,13,26
LEA,2026,2025-09-30,9605,Academia Antonia Alonso,Charter,TRUE,,LEA Total,Matched,6206757.81,615693.04,874334.46,7696785.3,3,,2,,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,7797349.82,718909.59,8516259.42,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,2167043.362996556,2175080.175450694,923,275,536,1,0,4342123.53844725,12858382.95844725,819474.1200000001,10.646966078162531,,5161597.65844725,67.06173366232848,,10.646966078162531,67.06173366232848,Increase,Increase,8338.878981581798,9226.716598049838,4704.359196584236,13931.075794634073,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope,"Nick Johnson, POLYTECH School District",887.8376164680391,5592.196813052275,2,17
LEA,2026,2025-09-30,85,Academy of Dover Charter School,Charter,TRUE,,LEA Total,Matched,3826138.06,424760.22,472605.11,4723503.39,3,,2,,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,4687541.05,686729.24,5374270.29,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,734440.7096384584,972824.6493151489,454,180,57,1,0,1707265.3589536073,7081535.648953607,650766.9000000004,13.777208276757486,,2358032.2589536076,49.921256835461016,,13.777208276757486,49.921256835461016,Increase,Increase,10404.192488986784,11837.599757709251,3760.4963853603685,15598.096143069619,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope,"Nick Johnson, POLYTECH School District",1433.4072687224677,5193.9036540828365,10,13
LEA,2026,2025-09-30,29,Appoquinimink School District,District,TRUE,,LEA Total,Matched,110705922.76,15597102.1,11960060.05,138263084.91,2,,0,,21,21,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,138596260.12,3399620.85,141995880.96,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,6038693.450922754,18981188.713596094,12958,1415,562,21,0,25019882.164518848,167015763.12451887,3732796.050000012,2.6997777840916917,,28752678.214518875,20.795629023636312,,2.6997777840916917,20.795629023636312,Increase,Increase,10670.094529248341,10958.16337089057,1930.8444331315673,12889.007804022138,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope,"Nick Johnson, POLYTECH School District",288.06884164222964,2218.913274773798,42,33
LEA,2026,2025-09-30,31,Brandywine School District,District,TRUE,,LEA Total,Matched,93929349.01,14737233.38,9869819.47,118536401.86,2,,0,,16,16,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,117058847.26,3061213.91,120120061.17,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,9969355.34716605,19246399.552775946,10070,2526,655,16,0,29215754.899941996,149335816.069942,1583659.3100000024,1.3360109511932188,,30799414.209941998,25.983085133896942,,1.3360109511932188,25.983085133896942,Increase,Increase,11771.241495531282,11928.50657100298,2901.266623628798,14829.773194631778,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope,"Nick Johnson, POLYTECH School District",157.26507547169834,3058.5316991004966,38,39
LEA,2026,2025-09-30,10,Caesar Rodney School District,District,TRUE,,LEA Total,Matched,69658545.58,10318597.51,7507357.89,87484500.99,2,,0,,12,12,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,85688751.63,2778007.1,88466758.74,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,7799018.417024643,14629873.645727655,7868,1952,547,12,2,22428892.0627523,110895650.80275229,982257.75,1.122779165320127,,23411149.81275229,26.76033988629406,,1.122779165320127,26.76033988629406,Increase,Increase,11119.026562023386,11243.868675648195,2850.647186419967,14094.51586206816,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope,"Nick Johnson, POLYTECH School District",124.84211362480936,2975.489300044775,36,41
LEA,2026,2025-09-30,74,Campus Community School,Charter,TRUE,,LEA Total,Matched,3071812.7,292108.15,368641.04,3732561.9,3,,2,,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,3760482.4,678785.77,4439268.16,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,579964.9814462438,762958.9064576747,402,170,5,1,0,1342923.8879039185,5782192.047903919,706706.2600000002,18.933544276921445,,2049630.1479039188,54.91215424729912,,18.933544276921445,54.91215424729912,Increase,Increase,9284.97985074627,11042.955621890547,3340.6066863281553,14383.562308218703,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope,"Nick Johnson, POLYTECH School District",1757.9757711442792,5098.582457472435,6,6
LEA,2026,2025-09-30,17,Cape Henlopen School District,District,TRUE,,LEA Total,Matched,62016906.82,9979639.57,6453269.65,78449816.03,2,,0,,10,10,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,76992403.35,2691434.7,79683838.05,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,5183975.631340468,11724768.392809235,6731,1128,607,10,0,16908744.0241497,96592582.0741497,1234022.0199999958,1.5730081757337626,,18142766.044149697,23.126588387679227,,1.5730081757337626,23.126588387679227,Increase,Increase,11655.001638686674,11838.33576734512,2512.0701268978905,14350.40589424301,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope,"Nick Johnson, POLYTECH School District",183.33412865844537,2695.404255556336,41,37
LEA,2026,2025-09-30,13,Capital School District,District,TRUE,,LEA Total,Matched,61129465.89,9963986.01,6275509.64,77368961.54,2,,0,,14,14,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,76462423.68,2679628.43,79142052.11,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,10572474.353277205,15382570.208435852,6384,2595,815,14,0,25955044.561713055,105097096.67171305,1773090.5699999928,2.2917337065242878,,27728135.131713048,35.83883585845664,,2.2917337065242878,35.83883585845664,Increase,Increase,12119.19823621554,12396.937987155388,4065.639812298411,16462.5777994538,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope,"Nick Johnson, POLYTECH School District",277.7397509398485,4343.379563238259,23,34
LEA,2026,2025-09-30,80,Charter School of New Castle,Charter,TRUE,,LEA Total,Matched,5420544.82,611791.47,785805.92,6818142.22,3,,2,,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,6671097.33,707576.86,7378674.19,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,1252397.4795756761,1494919.3546166553,759,360,21,1,0,2747316.8341923314,10125991.024192331,560531.9700000007,8.221183306440338,,3307848.8041923316,48.51539755931245,,8.221183306440338,48.51539755931245,Increase,Increase,8983.059578392622,9721.573372859026,3619.6532729806736,13341.226645839699,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope,"Nick Johnson, POLYTECH School District",738.5137944664041,4358.167067447077,11,24
