RecordType,SchoolYear,CountDate,DistrictCode,DistrictName,LEAType,IncludeInStatewide,SchoolCode,SchoolName,ModelMatchStatus,CurrentConfirmedFundingAmount,CurrentMappedFundingAmount,CurrentAssumptionFundingAmount,CurrentModelFundingAmount,CurrentComponentsMissingInput,CurrentRowsMissingInput,CurrentComponentsMissingRate,CurrentRowsMissingRate,ProposedCalculationUnitCount,ProposedPrincipalPositions,OperationalEnrollmentBasis,CharterBuildingPolicy,ProposedBaseFundingAmount,ProposedCentralOfficeFundingAmount,ProposedPositionBasedFundingAmount,ProposedComponentsMissingInput,ProposedRowsMissingInput,ProposedComponentsMissingRate,ProposedRowsMissingRate,PositionBasedComparisonBasis,FullModelComparisonBasis,CurrentModelComplete,ProposedModelComplete,ComparisonComplete,ComparisonStatus,ComparisonInterpretation,ProposedOpportunityFundingAmount,ProposedOperationalFundingAmount,IsSchool,Enrollment,LI,MLL,K8Enrollment,Grade10Enrollment,ProposedWeightedFundingAmount,ProposedModelFundingAmount,PositionBasedFundingDifference,PreliminaryPositionBasedPercentDifference,PositionBasedPercentDifference,FullModelFundingDifference,PreliminaryFullModelPercentDifference,FullModelPercentDifference,ReportPositionBasedPercentDifference,ReportGrossFullModelPercentDifference,PositionBasedDirection,GrossFullModelDirection,CurrentModeledFundingPerStudent,ProposedPositionBasedFundingPerStudent,ProposedWeightedFundingPerStudent,ProposedFullModelFundingPerStudent,AdjustedReportingScope,ExcludedLEA,WeightedPoolTreatment
School,2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,568,ASPIRA Academy,Matched,11269102.1,850505.4,1312786.76,13432394.26,2,,2,,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,14050841.48,0,14050841.48,0,,0,,Current modeled funding versus proposed Base Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,2491521.6359209856,3200224.887906923,TRUE,1475,402,493,1097,90,5691746.523827909,19742588.003827907,618447.2200000007,4.604147317516279,,6310193.743827907,46.97743099023589,,4.604147317516279,46.97743099023589,Increase,Increase,9106.707972881355,9525.994223728814,3858.8112025951923,13384.805426324005,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope
School,2026,2025-09-30,9605,Academia Antonia Alonso,Charter,TRUE,4045,Academia Antonia Alonso,Matched,6036087.45,464421.44,851876.5,7352385.38,2,,2,,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,7342041.27,0,7342041.27,0,,0,,Current modeled funding versus proposed Base Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,2167043.362996556,2175080.175450694,TRUE,923,275,536,923,0,4342123.53844725,11684164.80844725,-10344.110000000335,-0.14069053056084957,,4331779.428447249,58.9166536377511,,-0.14069053056084957,58.9166536377511,Decrease,Increase,7965.7479739978335,7954.540920910075,4704.359196584236,12658.900117494311,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope
School,2026,2025-09-30,85,Academy of Dover Charter School,Charter,TRUE,584,Academy Of Dover Charter School,Matched,3680640.95,200067.3,459031.87,4339740.12,2,,2,,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,4517870.76,0,4517870.76,0,,0,,Current modeled funding versus proposed Base Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,734440.7096384584,972824.6493151489,TRUE,454,180,57,454,0,1707265.3589536073,6225136.118953607,178130.63999999966,4.104638413232903,,1885395.998953607,43.444905612311345,,4.104638413232903,43.444905612311345,Increase,Increase,9558.898942731277,9951.25718061674,3760.4963853603685,13711.753565977107,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope
School,2026,2025-09-30,29,Appoquinimink School District,District,TRUE,24,Appoquinimink High School,Matched,11115254.1,964737.54,740170,12820161.64,1,,0,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,13836370.49,0,13836370.49,0,,0,,Current modeled funding versus proposed Base Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,622087.9717724633,2062861.202596031,TRUE,1299,145,59,0,328,2684949.174368494,16521319.664368495,1016208.8499999996,7.926646157325671,,3701158.0243684947,28.86982339458627,,7.926646157325671,28.86982339458627,Increase,Increase,9869.254534257121,10651.555419553502,2066.935469105846,12718.49088865935,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope
School,2026,2025-09-30,29,Appoquinimink School District,District,TRUE,13,Appoquinimink PreSchool Center,Matched,3024025.15,75493.69,148034,3247552.84,1,,0,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,3711088.14,0,3711088.14,0,,0,,Current modeled funding versus proposed Base Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,70204.9838770325,516613.8656128077,TRUE,142,21,0,0,0,586818.8494898402,4297906.98948984,463535.3000000003,14.27337206929019,,1050354.1494898405,32.342942555165344,,14.27337206929019,32.342942555165344,Increase,Increase,22870.09042253521,26134.423521126762,4132.527109083382,30266.950630210144,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope
School,2026,2025-09-30,29,Appoquinimink School District,District,TRUE,36,Brick Mill Early Childhood Center,Matched,3706602.8,143722.88,333755.64,4184081.32,1,,0,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,4515475.16,0,4515475.16,0,,0,,Current modeled funding versus proposed Base Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,178669.82669234197,621741.9004725963,TRUE,307,43,15,214,0,800411.7271649382,5315886.887164938,331393.8400000003,7.920348928591099,,1131805.5671649384,27.050276526770244,,7.920348928591099,27.050276526770244,Increase,Increase,13628.929381107491,14708.388143322476,2607.204323012828,17315.592466335303,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope
School,2026,2025-09-30,29,Appoquinimink School District,District,TRUE,21,Brick Mill Elementary School,Matched,4320071.7,299094.94,569587.77,5188754.4,1,,0,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,5308269.85,0,5308269.85,0,,0,,Current modeled funding versus proposed Base Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,378413.5303791653,818856.9658347003,TRUE,524,93,29,524,0,1197270.4962138655,6505540.346213865,119515.44999999925,2.303355310091363,,1316785.9462138647,25.37768883826655,,2.303355310091363,25.37768883826655,Increase,Increase,9902.203053435116,10130.285973282442,2284.867359186766,12415.153332469208,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope
School,2026,2025-09-30,29,Appoquinimink School District,District,TRUE,28,Bunker Hill Elementary School,Matched,4765269.35,306664.74,575329.59,5647263.68,1,,0,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,5941955.88,0,5941955.88,0,,0,,Current modeled funding versus proposed Base Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,415360.9151920515,893474.4509734241,TRUE,535,95,42,535,0,1308835.3661654757,7250791.246165476,294692.2000000002,5.218318405135993,,1603527.566165476,28.39477058321945,,5.218318405135993,28.39477058321945,Increase,Increase,10555.633046728972,11106.459588785046,2446.4212451691133,13552.880833954161,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope
School,2026,2025-09-30,29,Appoquinimink School District,District,TRUE,33,Cantwells Bridge Middle School,Matched,6560132.2,434505.21,879958.88,7874596.29,1,,0,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,8133767.34,0,8133767.34,0,,0,,Current modeled funding versus proposed Base Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,321704.74269718846,1089028.2088871151,TRUE,835,83,19,835,0,1410732.9515843035,9544500.291584304,259171.0499999998,3.291229676486689,,1669904.0015843036,21.206217310529624,,3.291229676486689,21.206217310529624,Increase,Increase,9430.654239520958,9741.038730538921,1689.5005408195252,11430.539271358448,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope
School,2026,2025-09-30,29,Appoquinimink School District,District,TRUE,22,Cedar Lane Early Childhood Center,Matched,2183858.6,119078.35,288969.76,2591906.71,1,,0,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,2722726.61,0,2722726.61,0,,0,,Current modeled funding versus proposed Base Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,114606.23117562837,331485.08764112217,TRUE,270,12,32,270,0,446091.31881675054,3168817.9288167506,130819.8999999999,5.04724570121584,,576911.2188167507,22.258178374666528,,5.04724570121584,22.258178374666528,Increase,Increase,9599.65448148148,10084.17262962963,1652.1900696916687,11736.362699321298,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope
