Metric,OriginalStatewideValue,AdjustedReportingValue,Difference,ExcludedLEA,ExclusionReason,PoolTreatment
LEAs,43,42,-1,Bryan Allen Stevenson School of Excellence,Excluded because 2025-26 was its final year of operation.,Excluded from adjusted reporting scope
Coded schools,229,228,-1,Bryan Allen Stevenson School of Excellence,Excluded because 2025-26 was its final year of operation.,Excluded from adjusted reporting scope
Total enrollment,140829,140706,-123,Bryan Allen Stevenson School of Excellence,Excluded because 2025-26 was its final year of operation.,Excluded from adjusted reporting scope
Proposed calculation units,253,252,-1,Bryan Allen Stevenson School of Excellence,Excluded because 2025-26 was its final year of operation.,Excluded from adjusted reporting scope
Current modeled funding,1563661268.77,1562248440.1759272,-1412828.59,Bryan Allen Stevenson School of Excellence,Excluded because 2025-26 was its final year of operation.,Excluded from adjusted reporting scope
Proposed position-based funding,1616123848.96,1614026350.7062645,-2097498.25,Bryan Allen Stevenson School of Excellence,Excluded because 2025-26 was its final year of operation.,Excluded from adjusted reporting scope
Opportunity Funding pool,163000000,163000000,0,Bryan Allen Stevenson School of Excellence,Excluded because 2025-26 was its final year of operation.,Fixed pool retained and redistributed
Operational Funding pool,279026800,279026800,0,Bryan Allen Stevenson School of Excellence,Excluded because 2025-26 was its final year of operation.,Fixed pool retained and redistributed
Proposed full-model funding,2058150648.96,2056053150.7062645,-2097498.25,Bryan Allen Stevenson School of Excellence,Excluded because 2025-26 was its final year of operation.,Excluded from adjusted reporting scope
Gross full-model funding difference,494489380.19,493804710.530337,-684669.66,Bryan Allen Stevenson School of Excellence,Excluded because 2025-26 was its final year of operation.,Excluded from adjusted reporting scope
