Check,Value,Status
Excluded LEA rows remaining in school output,0,Pass
Excluded LEA rows remaining in LEA output,0,Pass
DAFB rows remaining in adjusted outputs,0,Pass
Opportunity pool difference,0,Pass
Operational pool difference,0,Pass
School-to-LEA weighted funding difference,0,Pass
LEA-to-state weighted funding difference,0,Pass
Current LEA-to-state funding difference,0.044072,Pass
Proposed LEA-to-state funding difference,0.013736,Pass
Official percent fields populated on incomplete LEA comparisons,0,Pass
Unmatched school records,0,Pass
Unmatched LEA records,0,Pass
